Final_Class,n,Color
Benzenoids,37,#7E0021
Lipids_Bile acids,6,#B3E283
Lipids_Fatty acids,65,#36AE7C
Lipids_Other,27,#008600
Nucleosides,32,#6A1B9A
Organic acids and derivatives_Carboxylic acids,12,#290AD8
Organic acids_Amino acids,90,#3FA0FF
Organic acids_Hydroxy and Keto acids,14,#66E5FF
Organic nitrogen compounds,10,#FFCC29
Organic oxygen compounds_Carbohydrates,39,#F58634
Organoheterocyclic compounds_Indoles,11,#fabed4
Organoheterocyclic compounds_Purine/Pyridines/Pyrimidines,33,#EE4C97
Other,51,#999999
