Feature,SampleID_1,SampleID_10,SampleID_100,SampleID_101,SampleID_102,SampleID_103,SampleID_104,SampleID_105,SampleID_11,SampleID_110,SampleID_112,SampleID_113,SampleID_142,SampleID_144,SampleID_148,SampleID_154,SampleID_17,SampleID_18,SampleID_2,SampleID_20,SampleID_207,SampleID_210,SampleID_211,SampleID_213,SampleID_217,SampleID_219,SampleID_220,SampleID_225,SampleID_227,SampleID_228,SampleID_231,SampleID_232,SampleID_233,SampleID_235,SampleID_236,SampleID_24,SampleID_240,SampleID_241,SampleID_243,SampleID_248,SampleID_249,SampleID_25,SampleID_250,SampleID_256,SampleID_258,SampleID_262,SampleID_264,SampleID_265,SampleID_272,SampleID_274,SampleID_28,SampleID_286,SampleID_29,SampleID_293,SampleID_294,SampleID_297,SampleID_298,SampleID_3,SampleID_301,SampleID_304,SampleID_305,SampleID_308,SampleID_311,SampleID_312,SampleID_315,SampleID_317,SampleID_319,SampleID_323,SampleID_326,SampleID_33,SampleID_333,SampleID_334,SampleID_335,SampleID_337,SampleID_338,SampleID_339,SampleID_340,SampleID_343,SampleID_344,SampleID_354,SampleID_358,SampleID_363,SampleID_364,SampleID_365,SampleID_367,SampleID_368,SampleID_371,SampleID_373,SampleID_378,SampleID_379,SampleID_380,SampleID_383,SampleID_384,SampleID_386,SampleID_387,SampleID_39,SampleID_4,SampleID_40,SampleID_41,SampleID_44,SampleID_45,SampleID_46,SampleID_47,SampleID_49,SampleID_5,SampleID_50,SampleID_52,SampleID_55,SampleID_56,SampleID_59,SampleID_6,SampleID_62,SampleID_63,SampleID_64,SampleID_68,SampleID_69,SampleID_70,SampleID_72,SampleID_77,SampleID_78,SampleID_8,SampleID_82,SampleID_85,SampleID_88,SampleID_90,SampleID_91,SampleID_93,SampleID_94,SampleID_97,SampleID_98,SampleID_116,SampleID_136,SampleID_137,SampleID_140,SampleID_141,SampleID_143,SampleID_242,SampleID_328
transferase,0.1201,0.9321,0.0122,0,0.0371,0.0118,0,0.5982,0.2579,0.1255,1.0001,0.2625,0.3242,0,0,0,0.1424,0.0989,0.1065,0,0,0,0,0.3078,0.0274,0.1652,0.2539,0.2864,0,2.6887,0.1541,0,0,0.0369,1.085,0,0.3141,0.0681,0.0476,0.6591,1.1833,0.1905,1.6661,0.1355,0.1879,0,0.1984,0.0732,0.1327,0.119,0.3566,0,0.4597,0.0556,0,0.1058,0,0.4259,0.2904,0,0.1306,0,0.4424,0,0,0.3501,0.0728,0.0163,0.395,0.439,0,0.5424,0.73740000000000006,0,0,0.0041,0,0.035,0.257,0,0.1334,0.4162,1.5703,0.2063,0,0.2591,0,0,0.0959,0,0.0156,0,0,0.0288,0,0,0.3886,0,0.1499,0.0125,0,0,0.1702,0.0838,0.114,0.034,0.012,0,0.1817,0.2666,0.2399,0,0,0,0.4671,1.6872,0.8849,0,0.6569,0.6612,0.7806,0.4173,0.2587,1.7951,0.0182,0,0.1947,0,0,0,0,0,0.0338,0,0.205,2.6633,0.3466,0
Kanamycin kinase,0.5949,0.1672,0.0643,0.1663,0.0113,0.0444,0.0511,0.1954,0.2177,0.3518,0.3879,0.4756,0.095,0.6282,0.0117,0,0.3127,0.0922,0.39,0.5521,0.1305,0,0.2964,0.0675,0.1032,0,0.4808,0,0.0266,0.0695,0.0442,0.0025,0.0867,0.0347,0,0.7287,0,0.0687,0.1305,0.0271,0.031,0.1221,0.0373,0.0577,0.0653,0.1059,0.3126,0,0.0538,0,0,0.0279,0.0382,0,0.0786,0.1595,0,0.48,0.0031,0.094,0,0.0497,0.0643,0.0867,0.0672,0.1923,0.3394,0.1012,0,0.2144,0.0164,1.0531,0.1504,0.1161,0.2882,0.0386,0.117,0.192,0,0.0549,0.058,0.0456,0.0337,0.6573,0,0.6566,0,0.2243,0.5081,0.0455,0,0.0273,0.1814,1.1005,0.0833,0,0.071,0.0535,0.0096,0.001,0.2252,0.4015,0.1268,0.0608,0,0.0502,0.0836,0.1694,0,0.0277,0.078,0.0604,0.5019,0.3669,0.1812,0.0703,0.0197,0.0638,0,0,0.4117,0.0893,0.0323,0.0297,0.0374,0.1377,0.0394,0.0178,0,0.6176,0.0993,0,0.4157,0.5676,0.1817,0.0682,0.2148,0.3199
23S rRNA (adenine(2085)-N(6))-dimethyltransferase,0.6747,0.0923,0.2517,1.787,0.43,1.2706,0.4086,1.0454,0.3618,0.1208,0.1117,2.3775,0.173,0.3136,0,0.6087,2.5511,1.2701,1.5682,5.3686,0.922,1.0503,0.401,2.9225,1.8009,0.0305,2.0425,0.1688,1.379,0.0899,0.3543,1.5942,0.2637,1.819,3.6308,0.8775,0.0625,0.9944,0.9394,0.1743,0.8475,0.0585,3.0642,0.149,2.2397,2.0707,0,0.152,0.3787,2.3112,0.0927,0.8826,0.3956,0.9182,0.2689,0.1815,0.0664,1.8971,1.5931,0.1885,0.8661,3.5255,0.268,0.6574,0.3413,1.9168,0.5,0.2053,1.7852,0.2739,0.4072,0.2959,0.1504,0.9475,1.5484,0.0297,0.8185,1.3015,0.285,0.9927,1.303,2.8951,1.3254,1.6157,0.5424,1.4982,1.101,0.1849,1.4538,0,0.2009,2.4261,0.3512,0.2714,0.1676,2.4271,1.5923,0.3171,0.9473,0.8308,1.2669,1.3589,1.3635,1.1752,0.1018,0.7318,1.065,1.3562,0.3828,0.9779,0.1904,0.0393,0.2965,0.0258,0.7299,0.062,1.6175,0.9348,2.3921,0.3497,0.7466,0.294,0.9846,0.028,3.6312,1.1328,0.1136,0.1483,1.2045,0.5571,0.112,0,0.2574,0.0762,0.181,0.1604,1.0517,1.5803
H(+)-exporting diphosphatase,0.0954,0.1362,2.313,0.0414,0.0347,0.1477,0,0.0311,2.1384,0.8066,0,1.1143,0,0.0122,0,0,0.1799,0.1437,0.2758,0.0185,0.0643,0.1304,0,0,1.0586,0,1.0614,0.0282,0.2059,0.168,0.1826,0.1917,0.1155,0.0734,0,0.0953,0.583,0.0262,0.608,0.3555,0.1214,0.4529,0,0.1685,0.0791,0.0284,0.537,0.0885,0.3121,0.0634,0.023,0.2223,0.1325,0.1288,2.3004,0.1403,0,0.0686,0.0634,0.0975,0.0504,0.7889,0.4077,0.0407,0.6318,1.0753,0.5196,0,0,0.1915,0.057,0.585,0.0677,0.0236,0.2489,0.1524,0.304,0.2842,0,0.9175,0.0736,0.4714,0,0.1566,0.3689,0.2151,0.8789,0.1091,0.4298,0.0428,0.0387,0.0969,0.959,0.2096,0,0.3635,0.1067,0,0,0.0936,0.1985,1.6238,0.2578,0,0.0757,0.1234,0.254,0.1133,0,0.1762,0.3173,0,0.0636,0,0.3874,0.1513,0.1203,0.436,0,0.09,0,0.18,0.0471,0,0.2565,0.7198,0.0658,0.8,0.1944,0.0341,0.0956,0.0311,0.2327,0,0,0.0462,0.3603,0.7615
Tropinesterase,2.6334,0.4122,0.3411,0.1976,0.0371,0.0644,0.0395,0.1345,0.1162,0,0.0808,0.0282,0.0725,0.1319,0.0107,0.5802,0.2068,0.5765,0.9016,0.5559,0.2678,0.3811,0.1607,0.2949,0.2593,0.9577,0.469,1.2671,0.1876,0.4681,0.6325,0.3531,0.616,0.2661,0,0.0096,0.478,0.6995,0.9157,0.2703,0.085,0.3673,0.0737,0.3576,0.8629,0.8595,0.0868,1.0325,0.256,0.0822,0.9247,0.2368,0.1816,0.0725,0.5999,1.5522,0.1506,1.2343,0.2048,0.099,0.5227,0.2715,0.0524,0.8645,0.5545,0.7907,0.518,0.6737,0.3636,0.343,0.238,0,0.0471,0.1046,1.3996,0,0.2988,0.4735,0.0877,0.1029,1.4159,0.0946,1.6724,1.29,0,0.2783,0.3652,0.0736,0.3,0.4658,0.2032,0.3009,0.4726,0.2031,0.3912,0.3045,0.9867,0.2841,0.8535,0.0519,0.7592,0.3844,0.059,1.3494,0.5894,0.4076,0.3074,0.3725,0.2,0.7314,0.1615,0.0169,0.1846,0,0.333,0.734,0.7841,0.99,0.323,0.6785,0.4369,0.8481,0.208,0.1013,0.2726,0.2186,0.5212,0.3452,0.1525,0.5477,0.3832,0.1382,0.3927,0,0.177,0.3307,0.6489,0.4542
Phosphonopyruvate hydrolase,0.0617,0,0.0344,0,0,0.0403,0,0,1.587,0,0.0756,0,0.122,0,0,0,0,0.0216,0.1296,0,0,0,0,0,0,0,0,0,0,0.0297,0.1216,0.247,0.0235,0,0,0.2326,0,0.0266,0,0.0561,0,0,0,0.0363,0.0092,0.1813,0,0.0394,0.1436,0,0.283,0,0.9489,0,0,0,0,0.319,0,0,0,0,0,0,0.5553,0,0,0.5207,0,0.422,0.2786,0,0,0.0525,0.2125,0,0,0.1725,0,0,0,0,0,0.0244,0,0,0,0,0,0,0.3794,0,0.0104,0,0,0,0.1771,0,0,0,0,0,0,0,0,0.1033,0,0,0,0,0,0,0,0,0.1051,0.0657,0.0886,0.0463,0,0.5492,0,0.251,0.0373,0,0,0,0,0.0214,0.4392,0,0,0,0,0,0.0814,0,0,0
Tetrahydromethanopterin S-methyltransferase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1935,0,0,0,0,0.1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2227,0.0163,0.2523,0,1.9079
Glutamine--scyllo-inositol transaminase,0.0336,0.0304,0.2236,0.0468,0.2489,0,0,0,0,0.0804,0,0.063,0,0,0,0,0,0.0441,0.0186,0,0.0576,0.1111,0,2.133,0.07,0,0.0122,0,0,0,0.101,0,0.0318,0,0,0.0803,0.0232,0.3803,0,0.0526,0.0226,0,0,0.0412,0,0.0167,0,0,0.0724,0,0.0116,0,0,0.0412,0,0,0,0.0698,0,0,0,0,0.0448,0,0,0,0.0477,0,0,0.0555,0.0934,0,0.1634,0,0,0.0103,0,0.024,0,0,0.0292,0.0109,0,0,0,0,0.0668,0,0,0,0,0,0.0084,0.0476,0,0,0,0,0,0,0,0,0,0.0232,0,0,0.0247,0.046,0,0.0588,0.2784,0,0.0286,0,0.0469,0,0,0,0,0.0454,0,0,0.012,0,0,0.0503,0.0331,0.0744,0.0461,0,0,0,0,0,0,0.0395,0.1603,0.0441
2-(R)-hydroxypropyl-CoM dehydrogenase,0.3852,0.1937,0.281,0.0138,0.015,0.0268,0,0,0.4291,0,0.4904,0,0,0.0924,0,0.1149,0.1573,0.1909,0.2696,0.0369,0.2696,0.0247,0,0.2203,0,0,0,0.0163,0.13,0.1334,0.2197,0.0121,0.5071,0.1007,0,0,1.0205,0.7156,0.374,0.6127,0.1902,0,0.104,0.0352,0.0989,0.0466,0.1498,0.2137,0.078,0.3463,0.042,0.0306,0,0,0.317,0.0935,0.047,0.2903,0.0784,0.0081,0,0,0.4923,0.2677,0.3504,0.1039,1.3273,0,0.2102,0.097,0.2239,0,0.0761,0.0279,0.0566,1.1541,0,0.054,0,0.0459,0,0.4712,0.0613,0,0,0.0505,0,0,0.5099,0,0.0195,0,0.5584,0,0.3864,0,0.32,0.0421,0.176,0.0476,0.047,0.0592,0.708,0,0,0.0133,0.2021,0.0414,0.3182,0.1778,0.1195,0.1867,0.0694,0,0.192,0.0986,0.2032,0.1535,0,0.1975,0.1088,0.2433,0.1544,0.0488,0.1497,0.0852,0,0,0,0.026,0.0322,0,0,0,0.194,0.34,0.2077,0.0564
Ceramidase,0,0,0,0,0.0181,0,0,0,0,0,0.0263,0,0,0,0,0,0,0,0,0,0.0481,0,0,0.16,0.3796,0,0,0.1955,1.6006,0,0,0,0.0659,0,0,0,0,0.4518,0.8266,0,0,0,0,0.9099,0,0,0,0,0,0,0.2828,0,0,0,0,0,0,0.0088,0,0,0,0.1224,0,0,0.128,0,0,0.0378,0,0,0,0,0,0,1.0271,0,0,0,0,0,0.4982,0,0,0,0.1505,0,0,0,0,0,4.1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,0.0044,0,0.1792
