Feature,SampleID_1,SampleID_10,SampleID_100,SampleID_101,SampleID_102,SampleID_103,SampleID_104,SampleID_105,SampleID_11,SampleID_110,SampleID_112,SampleID_113,SampleID_142,SampleID_144,SampleID_148,SampleID_154,SampleID_17,SampleID_18,SampleID_2,SampleID_20,SampleID_207,SampleID_210,SampleID_211,SampleID_213,SampleID_217,SampleID_219,SampleID_220,SampleID_225,SampleID_227,SampleID_228,SampleID_231,SampleID_232,SampleID_233,SampleID_235,SampleID_236,SampleID_24,SampleID_240,SampleID_241,SampleID_243,SampleID_248,SampleID_249,SampleID_25,SampleID_250,SampleID_256,SampleID_258,SampleID_262,SampleID_264,SampleID_265,SampleID_272,SampleID_274,SampleID_28,SampleID_286,SampleID_29,SampleID_293,SampleID_294,SampleID_297,SampleID_298,SampleID_3,SampleID_301,SampleID_304,SampleID_305,SampleID_308,SampleID_311,SampleID_312,SampleID_315,SampleID_317,SampleID_319,SampleID_323,SampleID_326,SampleID_33,SampleID_333,SampleID_334,SampleID_335,SampleID_337,SampleID_338,SampleID_339,SampleID_340,SampleID_343,SampleID_344,SampleID_354,SampleID_358,SampleID_363,SampleID_364,SampleID_365,SampleID_367,SampleID_368,SampleID_371,SampleID_373,SampleID_378,SampleID_379,SampleID_380,SampleID_383,SampleID_384,SampleID_386,SampleID_387,SampleID_39,SampleID_4,SampleID_40,SampleID_41,SampleID_44,SampleID_45,SampleID_46,SampleID_47,SampleID_49,SampleID_5,SampleID_50,SampleID_52,SampleID_55,SampleID_56,SampleID_59,SampleID_6,SampleID_62,SampleID_63,SampleID_64,SampleID_68,SampleID_69,SampleID_70,SampleID_72,SampleID_77,SampleID_78,SampleID_8,SampleID_82,SampleID_85,SampleID_88,SampleID_90,SampleID_91,SampleID_93,SampleID_94,SampleID_97,SampleID_98,SampleID_116,SampleID_136,SampleID_137,SampleID_140,SampleID_141,SampleID_143,SampleID_242,SampleID_328
p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_hominis,0,60.85201217,0,208.9319373,0,28.58798571,0,0,0,26.07198696,0,52.31003662,0,0,0,0,31.60501264,107.8440216,0,0,0,55.84700558,20.38500612,0,62.52602501,576.3558271,29.92100898,268.2771341,0.076,67.22499328,78.9780158,0,0,107.6070323,295.2318819,0,57.31902293,0,80.27200803,579.6826522,2.059000206,0,135.9429048,99.71996011,40.89400818,42.76702566,293.6671468,61.05903664,36.78299632,63.04998739,225.8189097,47.86002872,32.91,72.25999277,36.41,521.5716349,0,0,52.64597894,0.637,33.69501011,0.458999862,4.815001445,0,0,71.34495719,227.2950682,221.1581106,0,176.1970352,0,124.1200248,85.75302573,16.09399678,0,654.3953926,0,0,0,21.40400642,40.44697573,134.2740403,334.0780334,0,0,0,0,8.661996535,1.919,19.54899609,49.04102452,0,28.29102829,0,113.8919772,0,0,0,0,22.12401327,97.23906807,128.9440774,270.2967838,80.746,165.3790496,51.591,0,4.341001736,0,0,226.0669322,0,0.640999936,0,75.217,0,0,0,0,0,230.7880462,0,13.9899986,0,58.41298248,274.0741919,145.2271017,0,0,0,0,0,475.3990475,0,2.652999469,199.2870199,5.151997424,80.22398396
p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340|g__GGB3256|s__GGB3256_SGB4303,0,411.6460823,0,0,8.802003521,0,0,0,0,221.0678895,0,0,31.518,0,0,0,0,0,0,0,0,25.59200256,0.745000224,0,23.28700931,0,0,0,0,0,0,403.977,0,0,308.4068766,0,1.530000612,0,0,0,666.0980666,0,2.952997933,0,0,116.4470699,0,148.5330891,0,15.46499691,0,0,0,0,117.078,0,0,0,0,13.514,0,0,4.93400148,0,0,0,0,0,112.2679326,0,0,31.82400636,0,0,0,0,0.361000253,0,31.94399681,0,335.6427986,17.55300527,1447.574145,0,0,0,0,17.47199301,74.178,135.6049729,0,0.889999733,0,0,0,0,0,0,0,0,0,0,0,0,0,11.635,7.120002848,41.21301649,133.2120133,0,0,0,26.53199735,0,0,0,0,20.07600402,388.2739223,14.799,0,44.57,1157.967884,447.1148212,392.2988823,52.05803644,0,0,0,0,0,0,0,0,1.295999741,57.49800575,0,0
p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,0,0,0,0,0,0,3.370001011,25.10600753,0,0,0,0.87100061,0,0,0,0,0.569000228,4.766000953,0,0,0,0,0,0,31.70401268,28.6679914,10.69200321,0,0,0,6.734001347,4.736,0,0,12.44799502,5.415003249,0,0,0,0,0,0,0.833999416,3.179998728,0.70100014,0,2.207001104,3.473002084,13.85399861,7.472998505,0.041999983,0.203000122,0,0,0,14.94798954,20.178,0,2.52599899,0,0,0,0,0,0,1.622999026,0.210000063,6.988003494,0,1.893000379,138.3879585,0,0,0,0,0,5.040003528,0,0,0,0.127999923,2.098000629,21.48400215,0,0,3.521001056,0,0,0,1.065999787,1.788000894,9.684997095,0,0.47400019,34.23799315,1.317000263,0,0,11.78599764,0.070000042,0.375000263,0.351000211,0,0,0,0,28.95901158,1.533000613,0,0,0,0,4.778999522,0,5.563,0,0,3.138000628,0,0,0,0,1.870999813,0,29.6589911,5.122003585,2.134001494,0,0,0,0,0.593999881,0,168.9480169,19.11799618,21.58600216,40.14397993,0
p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0,1012.260202,0,82.91597513,92.7550371,137.1189314,50.12001504,6.469001941,0,0,0,0,0,58.62602345,0,0,0,0,0,0,5.724002862,53.43500534,10.80700324,36.28001088,597.8222391,0,0,27.72301386,215.241,0,9.631001926,0,86.60503464,335.9301008,0,44.55902674,6.947002779,46.4340325,91.72900917,0,29.46400295,153.9140308,0,781.1006876,0,67.10804026,0,0,7.509999249,0,41.16498353,156.2720938,0,0,4.52,0,85.513,0,0,30.761,165.5480497,62.08298138,0,38.26498469,27.659,14.06699156,0,4.661002331,3.904997657,0,176.2989471,0,0,0,66.40302656,0,0.744000521,99.18800992,19.72499803,724.6272174,65.55396067,4.939001482,0,0,69.82901397,0,0,11.70399532,708.725,0,2.415001208,0,60.33606034,13.15400526,0,16.14200323,0,0.82,15.39499692,429.8612579,17.56401229,188.4451131,1640.440688,50.715,0,135.436,92.97703719,0,0,0,0,49.63598015,92.31999077,0,75.322,123.6649753,78.43400784,16.32500327,1.225999755,0,0,0,41.17199588,22.42099103,20.87299374,26.2810184,0,322.6499355,293.3220587,181.8140364,10.881,65.25098695,0,36.0190036,31.36399373,0.9980001,98.31095084,124.2809751
p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521999948,0.766000153,0,0,0,0,0,3.939001576,0,0,0.08299995,0.39600004,0,0,0,0,0,0,9.851005911,1.368999863,0,0,0,0,0,0,0,0,0.715999714,0,0,0.929000279,0,0,0,0,0,0,0.072000036,0,0,0,0,0,0,0,0.686000412,0,0.29700003,0,3.407001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173999948,0.695,0.446999911,2.108001265,0.491000344,2.775001665,0.21299983,0,0,0,2.068000827,0,0,0,0.26699992,3.765998494,0.774999923,0,0,0.273999945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.387999306,0
p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis,0,17.24800345,0,0,88.64903546,0,24.56100737,0.046000014,0,146.9069265,0,33.24202327,8.647,162.602065,0,0,0,0,0,0,33.69601685,0,0,0,0,32.04999039,0,7.301003651,70.425,2.183999782,0,9.679,5.646002258,43.55801307,0,0,0,0,20.88600209,0,10.74600107,0,25.49898215,40.61698375,0,0,14.55500728,0,0,15.009997,10.46399581,22.64301359,0,31.48599685,0,4.09999713,126.859,0,39.63398415,0,102.5860308,1.517999545,54.90701647,18.28399269,46.28,22.35498659,0,110.1990551,0,0,178.7159464,27.60500552,0,0,14.19700568,3.111001867,1.903001332,73.40700734,24.17399758,61.39801842,0,0.184000055,0,0,3.210000642,0,30.08700903,0,0,32.05899359,17.81600891,18.28799451,0,0,0,28.33100567,0,10.546,67.33398653,13.31600799,0.1430001,5.978003587,18.19898544,131.448,78.76202363,262.738,83.40203336,47.03301881,48.28300483,10.23199591,7.039997888,13.20299472,87.07799129,0,83.412,25.06999499,6.79600068,48.20500964,0,0,0,0,0,75.93796962,0.230999931,20.60501442,151.7831062,63.88798722,16.03100321,0,1.044,105.8759788,171.6740172,0,3.560999288,0,163.5439182,0
p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola|s__Phocaeicola_vulgatus,0,1771.773354,603.7179396,1179.313646,56.65102266,395.4858023,97.54302926,72.39802172,217.693,0,571.9428856,0,202.14,865.5393462,12.0209976,883.067,189.8720759,1589.178318,0,1207.385879,923.2724616,2024.856202,122.2560367,163.232049,581.3002325,282.9379151,103.6270311,202.5651013,268.485,143.6549856,1794.592359,1096.686,163.3320653,1089.857327,42.88298285,720.8934325,14.35400574,139.3760976,121.5120122,194.4298833,72.86800729,0,97.07593205,1508.6983970000001,416.5350833,1041.755625,14.37800719,0,932.3879068,294.5619411,289.8348841,455.3082732,1431.692,866.8739133,100.16,118.6829169,1032.696,0,550.7217797,16.11,1006.610302,43.21598704,846.8602541,713.8777144,122.756,80.57595165,133.7010401,482.9712415,5.177996893,704.7351409,1094.908672,0,1578.976474,0.346999931,593.6232374,97.71105863,70.23004916,500.11505,186.3959814,1330.036399,363.403782,97.82602935,32.9760033,179.1320896,907.9161816,271.5620815,1448.299434,3.795998482,408.115,128.4159743,1437.396719,297.1639109,485.5304855,256.0631024,2368.326526,66.89301338,0,10.369,92.25498155,415.5112493,78.63105504,136.1580817,10.25899179,0,535.6121607,0,1335.193534,990.1283961,140.365014,136.2409455,885.4437344,310.8488757,789.580921,0.062000031,350.193,396.0829208,14.90900149,160.4490321,0.618999876,1678.446,66.45701329,2024.05,272.9219727,485.5348058,268.9369193,711.1044978,552.5283868,354.792929,226.4750453,1890.863378,1.65,229.971954,67.0200067,22.31700223,212.1869576,78.77400788,428.4607858,355.098929
p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,579.1141158,27.59300552,1.324999868,33.32999,4.361001744,4.737997631,15.48400465,50.009015,0,0,0,0,8.985,3.829001532,0,0,67.53702701,22.21500444,42.17697891,54.9689945,65.67903284,41.40400414,2.336000701,9.813002944,5.819002328,12.05099638,17.08400513,35.86501793,2.342,9.245999075,1.075000215,34.834,3.438001375,0.846000254,0,0,15.34100614,0,6.40100064,0,19.68500197,0,42.65697014,8.631996547,24.79200496,8.237004942,11.87100594,370.2372221,0.614999939,16.73999665,56.32997747,6.476003886,6.533,9.30399907,4.962,10.60999257,217.867,44.46598221,39.30998428,0.34,10.36900311,0.038999988,70.48802115,23.21499071,2.487,3.564997861,0,41.36702068,18.20198908,2.254000451,134.1309598,0,0,2.09799958,1.006000402,95.90505754,21.33301493,6.516000652,15.88899841,7.46800224,15.40199076,6.146001844,79.52000795,11.10600555,21.79900436,16.45000494,17.61100528,2.428999028,78.415,10.5219979,19.03600952,152.6319542,7.07000707,3.188001275,8.582998283,4.70000094,14.76799557,43.873,16.95599661,4.332002599,2.260001582,2.627001576,13.73098902,58.852,38.69901161,7.167,34.08601363,43.05101722,31.82500318,11.81599527,79.6509761,181.6269273,40.62099594,0,13.188,11.63099767,10.11700101,15.13300303,30.87099383,0,94.12701883,0,6.382999362,50.76997969,78.95697631,17.81001247,0,24.38699512,5.939001188,0.70100014,10.503,15.80499684,39.81100398,3.021000302,6.930998614,7.224000722,4.836997582,15.20299696
p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_SGB4421,0,0,0,0,2.271000908,0,0,206.2240619,0,14.21399289,0,67.67804737,0,0,0,0,0,0,0,0,0,0,3.813001144,10.81700325,14.14200566,24.36299269,0,0,0,43.37799566,0,0,5.914002366,0,112.405955,0,0,46.96803288,0,0,5.485000549,0,2.4279983,0,0,0,18.42500921,0,0,0,0,0,0,11.08699889,2.442,27.8509805,0,0,22.03199119,0.286,0,0,0,0,0,0,0,0.042000021,0,0,0,14.05000281,0,0,38.84101554,98.58805915,0,40.036004,0,0,23.28698603,21.40700642,63.12000631,0,0,0,0,3.57499857,0,2.091999582,0,0,13.22501323,0,0,0,0,0,0,0,0,0,0,5.661,0,21.582,8.772003509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.1979801,0,0,0,0,0,0,0,0,0,2.022000202,0,358.0929284,0,41.67897916,0
p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB6179,0,0,0,0.317999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053999995,0.663000332,0,0,2.385000716,0,0,0,0,0,0,0,0,0,0.085000026,0,0,0,0,0,0,0.390000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.555,0,0,0,0,0,0,0.161999935,0,0,0,0,0.329999802,0.60200012,0,0,0,0,0.306000122,1.841001105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89499484,0.876999912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141000014,0,0,0.688000069,0,2.0009996
