feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Linoleic.acid	Fasting	Y	0.852690214018677	0.144564344998969	95	95	8.5080036641334e-08	3.90459716346944e-05
Oleic.acid	Fasting	Y	0.852174194727729	0.146033303842453	95	95	1.16852967598052e-07	3.90459716346944e-05
Proline	Fasting	Y	-0.288212136177473	0.0482723880181378	95	95	7.44310826305356e-08	3.90459716346944e-05
Uridine	Fasting	Y	0.404311197402186	0.069220124999726	95	95	1.26772635177579e-07	3.90459716346944e-05
Palmitic.acid	Fasting	Y	0.580493354900188	0.101684422126142	95	95	1.96504215449646e-07	4.84186386867927e-05
Glycerol.Myristate	Fasting	Y	0.889076278678668	0.159445900733587	95	67	3.72637680120568e-07	7.65149369847567e-05
X3.hydroxybutyric.acid	Fasting	Y	0.993480519888191	0.181578089320071	95	95	5.42102137545559e-07	8.58599307779771e-05
Fructose	Fasting	Y	-1.16622710046489	0.21342164892926	95	95	5.57532018038812e-07	8.58599307779771e-05
Palmitoleic.acid	Fasting	Y	0.693889081740434	0.129227315096916	95	95	7.83053532390148e-07	0.000107191327989407
Docosahexaenoic.acid	Fasting	Y	0.617350970690444	0.119086362129854	95	95	1.89214229682448e-06	0.000181193349697045
N.Acetylglycine	Fasting	Y	0.38532250980981	0.0746006197747013	95	95	1.91194281336168e-06	0.000181193349697045
Norvaline	Gender	Male	0.422558978861562	0.0645077858990108	95	95	1.546472529975e-06	0.000181193349697045
Valine	Gender	Male	0.383187310162546	0.0598628527312127	95	95	1.75251349028556e-06	0.000181193349697045
Trigonelline	Fasting	Y	-1.05701812315613	0.205733822759551	95	95	2.27112305403237e-06	0.000199858828754848
Hexanoyl.carnitine	Fasting	Y	0.539156739952178	0.110035327639514	95	95	5.68368774095712e-06	0.000466820219790611
acetyl.carnitine	Fasting	Y	0.445698281244494	0.0935718551106589	95	95	9.07172549209258e-06	0.000620909211458781
Arachidonic.acid	Fasting	Y	0.480955036289555	0.100330257609514	95	95	8.35850259415016e-06	0.000620909211458781
Octanoyl.carnitine	Fasting	Y	0.711222995428472	0.148671577621594	95	95	8.98101798876573e-06	0.000620909211458781
Propionyl.carnitine	Fasting	Y	-0.321681372528472	0.0689436686288572	95	95	1.36863343625567e-05	0.000887450733403673
Xylose	Fasting	Y	-0.437723852831575	0.0944350951172073	95	95	1.52874046771102e-05	0.000941704128109988
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Fasting	Y	0.8907947726567	0.193548639801096	95	88	1.63009865655892e-05	0.000956324545181235
Proline	Gender	Male	0.402696053350533	0.0706467553288263	95	95	1.71684699101035e-05	0.000961434314965795
cis.11.Eicosenoic.acid	Fasting	Y	0.692338900847167	0.151536932164067	95	95	1.82427918037558e-05	0.000977179108792485
Leucine	Gender	Male	0.347207048522931	0.066514945769941	95	95	3.35347455768334e-05	0.00172145027294411
Glycochenodeoxycholate	Fasting	Y	-1.33241025811996	0.308459949603499	95	79	4.58022479534425e-05	0.00225713477914565
Ximeninic.Acid	Fasting	Y	0.674358255200451	0.156860312125596	95	95	4.99167926321305e-05	0.00236528802010711
cis.5.Dodecenoic.acid	Fasting	Y	0.814393621745336	0.191142019961551	95	92	5.70315141765256e-05	0.00250165328695128
Mannitol	Fasting	Y	-1.01973924059042	0.239211223086722	95	95	5.8886319254535e-05	0.00250165328695128
Sucrose	Fasting	Y	-1.00293703839749	0.235039448287221	95	73	5.56930586253082e-05	0.00250165328695128
Homocysteine	Gender	Male	-0.841118447919032	0.169419121672419	95	95	6.17836547751068e-05	0.00253724875609772
X4.Guanidinobutanoate	Fasting	Y	-0.757044740477558	0.178908143657829	95	94	6.52220342661561e-05	0.0025920498779324
Linolenic.acid	Fasting	Y	0.691908064921859	0.164163154679373	95	95	6.74207270916335e-05	0.00259569799302789
X3..4.Hydroxyphenyl.Pyruvate	Fasting	Y	-0.586005552504585	0.139301641869694	95	95	7.02349854351054e-05	0.00262028780530854
Caffeine	Fasting	Y	-0.761961729986364	0.182188063449216	95	95	8.05971400121355e-05	0.00262028780530854
Deoxycarnitine	Gender	Male	0.474829628306057	0.0935433348261986	95	95	8.08205654234777e-05	0.00262028780530854
Dimethylarginine	Fasting	Y	0.165954897421493	0.0395886753252105	95	95	7.34563993205313e-05	0.00262028780530854
