feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Glycerol.Myristate	Fasting	Y	0.989962597932782	0.159063288209826	94	67	2.64465244679234e-08	1.77768580625467e-05
Linoleic.acid	Fasting	Y	0.888361747032059	0.145906920361769	94	94	4.22123302507134e-08	1.77768580625467e-05
Oleic.acid	Fasting	Y	0.886495969428643	0.147589006424658	94	94	6.2545707716226e-08	1.77768580625467e-05
Palmitic.acid	Fasting	Y	0.615263017991253	0.102057469650215	94	94	5.64575371609383e-08	1.77768580625467e-05
Proline	Fasting	Y	-0.288736198961882	0.0482548194045611	94	94	7.21463395395566e-08	1.77768580625467e-05
Palmitoleic.acid	Fasting	Y	0.724157583394893	0.129113554683237	94	94	3.02230811929493e-07	6.20580600495225e-05
Uridine	Fasting	Y	0.391264585545275	0.070628413556284	94	94	4.4436076605789e-07	7.82074948261886e-05
X3.hydroxybutyric.acid	Fasting	Y	0.983245208680893	0.183161238337695	94	94	8.36382018365234e-07	0.000111896901845326
Arachidonic.acid	Fasting	Y	0.533518748539048	0.0997243964146821	94	94	9.68173339792042e-07	0.000111896901845326
Docosahexaenoic.acid	Fasting	Y	0.644964174526027	0.119416763136876	94	94	8.24842428931061e-07	0.000111896901845326
Fructose	Fasting	Y	-1.14744589396417	0.216387168401193	94	94	1.08990488810383e-06	0.000111896901845326
Trigonelline	Fasting	Y	-1.10226733521205	0.206338403054247	94	94	1.03601238586486e-06	0.000111896901845326
Hexanoyl.carnitine	Fasting	Y	0.572470607817927	0.109423787182428	94	94	1.64319323112262e-06	0.000155724158518698
N.Acetylglycine	Fasting	Y	0.397722660424431	0.0771261280749206	94	94	2.19940934877544e-06	0.000187885509654864
Norvaline	Gender	Male	0.396401934790488	0.0627704505854932	94	94	2.28756708183682e-06	0.000187885509654864
Octanoyl.carnitine	Fasting	Y	0.749547354691795	0.147326356714424	94	94	2.91931835005584e-06	0.0002247875129543
Valine	Gender	Male	0.35605897473403	0.0585285843719856	94	94	3.31420398071724e-06	0.000240182312014332
cis.11.Eicosenoic.acid	Fasting	Y	0.756958623369264	0.151180704084254	94	94	3.53969712446139e-06	0.000242272603185357
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Fasting	Y	0.935346592455524	0.196813685123606	94	87	9.43238420985954e-06	0.000611615649818261
acetyl.carnitine	Fasting	Y	0.441188830662021	0.0935781225052947	94	94	1.09487842436617e-05	0.00067444510940956
Ximeninic.Acid	Fasting	Y	0.719740926330684	0.157465923998072	94	94	1.86077119916084e-05	0.00104203187153007
Xylose	Fasting	Y	-0.438287670963987	0.0954193994893744	94	94	1.80854240498387e-05	0.00104203187153007
Linolenic.acid	Fasting	Y	0.740945505631337	0.163348474601707	94	94	2.11552370877606e-05	0.00109608671881836
Propionyl.carnitine	Fasting	Y	-0.317704393425816	0.0697824183493391	94	94	2.13523386782798e-05	0.00109608671881836
X4.Guanidinobutanoate	Fasting	Y	-0.802815600452806	0.177508975180475	94	93	2.30095740248388e-05	0.00113391180794406
X3..4.Hydroxyphenyl.Pyruvate	Fasting	Y	-0.619175980495017	0.141093162429716	94	94	3.66230564687301e-05	0.00173536944497983
Caffeine	Fasting	Y	-0.802710090869475	0.183941294929262	94	94	4.27569384370443e-05	0.00181643269498064
cis.5.Dodecenoic.acid	Fasting	Y	0.842299121815993	0.193730115012493	94	91	4.26019586694644e-05	0.00181643269498064
Leucine	Gender	Male	0.336106112933637	0.0658878033082558	94	94	4.18027014392971e-05	0.00181643269498064
Proline	Gender	Male	0.361912227850876	0.0696289072730745	94	94	4.58605870643705e-05	0.00188334144211015
X9.Decenoic.acid	Fasting	Y	0.45124269801097	0.105536661126841	94	94	5.89268035809209e-05	0.0023418652261837
Dimethylarginine	Fasting	Y	0.169107133564242	0.0399586499390558	94	94	6.47310853639304e-05	0.00249214678651132
