feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Glycochenodeoxycholate	Fasting	Y	-1.84242294599554	0.206141973644317	202	158	2.98089973153847e-16	1.34865386660170e-13
Linoleic.acid	Fasting	Y	0.930698099271254	0.104367036301826	202	202	3.28405974010155e-16	1.34865386660170e-13
Proline	Fasting	Y	-0.324408020712566	0.0361164559226204	202	202	2.45738527805568e-16	1.34865386660170e-13
Fructose	Fasting	Y	-1.25234872367557	0.142011752224394	202	202	6.24822610095935e-16	1.92445363909548e-13
Oleic.acid	Fasting	Y	0.959675572738924	0.111183367408343	202	202	2.12623023604793e-15	5.2390313016221e-13
Palmitic.acid	Fasting	Y	0.687682353951518	0.0815857951898831	202	202	8.00764214019199e-15	1.64423585278609e-12
Palmitoleic.acid	Fasting	Y	0.851430831439761	0.103270298738399	202	202	2.34560888874231e-14	4.12827164418647e-12
X3.hydroxybutyric.acid	Fasting	Y	1.11906557736657	0.137766136967595	202	202	1.01119851712257e-13	1.55724571636875e-11
Hexanoyl.carnitine	Fasting	Y	0.609323535334331	0.0794642392243226	202	202	9.49445864725862e-13	1.29968589482474e-10
Arachidonic.acid	Fasting	Y	0.541099764554398	0.0736398127448952	202	202	5.2463404973058e-12	6.46349149268075e-10
cis.11.Eicosenoic.acid	Fasting	Y	0.812138170806642	0.111580664333414	202	202	7.98691164436917e-12	8.94534104169347e-10
Glycerol.Myristate	Fasting	Y	0.935727862728275	0.129603871995419	202	127	1.13138582040196e-11	1.16155610894601e-09
Ximeninic.Acid	Fasting	Y	0.796067871681893	0.111163298005135	202	202	1.55415521203524e-11	1.47286093940571e-09
Linolenic.acid	Fasting	Y	0.82237686861395	0.116226555347777	202	202	2.5454412227215e-11	2.23998827599492e-09
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Fasting	Y	0.921451469682232	0.13047497265512	202	195	2.77302592176046e-11	2.27757862373926e-09
acetyl.carnitine	Fasting	Y	0.474324716831573	0.0674736127335872	202	202	3.38221642823866e-11	2.60430664974377e-09
Trigonelline	Fasting	Y	-1.28166625778511	0.180846281798908	202	202	5.37798263545902e-11	3.89745565110913e-09
Octanoyl.carnitine	Fasting	Y	0.789445373980679	0.115895509512423	202	202	1.33223265483031e-10	9.11839239306081e-09
N.Acetylglycine	Fasting	Y	0.506213852956005	0.0744306837170191	202	202	1.60215128719433e-10	1.03886862411759e-08
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid	Fasting	Y	0.732472005720034	0.110253286947914	202	201	2.94312017968591e-10	1.81296203068652e-08
cis.10.Nonadecenoic.acid	Fasting	Y	0.910253811006789	0.13767275294406	202	140	3.58343671529595e-10	2.10228287297362e-08
X14.Methylhexadecanoic.acid	Fasting	Y	0.438824155557401	0.0683477993536472	202	202	1.04106622606541e-09	5.80436807704366e-08
Docosahexaenoic.acid	Fasting	Y	0.581171073560771	0.0903220897762202	202	202	1.08360767672081e-09	5.80436807704366e-08
Myristoleic.acid	Fasting	Y	0.557838547917102	0.0885874252054777	202	202	1.99210994563528e-09	1.02261643875944e-07
Caffeine	Fasting	Y	-0.904403844849212	0.146163265135153	202	202	4.62592050962154e-09	2.27965362714149e-07
Propionyl.carnitine	Fasting	Y	-0.377731209308301	0.0616033127695643	202	202	6.26106325331399e-09	2.96678074157032e-07
cis.5.Dodecenoic.acid	Fasting	Y	0.892388092469272	0.147412236780523	202	196	7.04813456414551e-09	3.21603769741751e-07
Xylose	Fasting	Y	-0.392354137246219	0.0660475376826693	202	202	1.31620701988129e-08	5.79131088747766e-07
Hippurate	Fasting	Y	-2.07829268968568	0.34927049430402	202	181	1.42823472597197e-08	6.06753511171538e-07
X3..4.Hydroxyphenyl.Pyruvate	Fasting	Y	-0.561398224436997	0.0994454613994969	202	201	5.74556117494694e-08	2.35951045584488e-06
Mannitol	Fasting	Y	-0.974352824925276	0.174098780699874	202	202	7.31336146350161e-08	2.90647139452709e-06
X4.Guanidinobutanoate	Fasting	Y	-0.659921935291496	0.120647505702822	202	199	1.36099552166577e-07	5.23983275841323e-06
X4.Imidazoleacetate	Age	Age	0.264308832223161	0.0451514155899731	202	199	1.56259591486401e-07	5.66211225621312e-06
Myristic.acid	Fasting	Y	0.467951409753674	0.0857844404437753	202	202	1.52512557101625e-07	5.66211225621312e-06
Sucrose	Fasting	Y	-0.859152741004175	0.15955297655498	202	148	2.0670170209779e-07	7.08365618820388e-06
Uridine	Fasting	Y	0.274464134480307	0.050985290653576	202	202	2.06989953551412e-07	7.08365618820388e-06
X9.Decenoic.acid	Fasting	Y	0.411608714622935	0.0769316642508411	202	202	2.47307011806891e-07	8.23465509584027e-06
Paraxanthine	Fasting	Y	-1.21739251988066	0.230318463272846	202	182	3.77328341145645e-07	1.22333820076693e-05
Deoxycholate	Fasting	Y	-0.550678886673742	0.106077064974448	202	202	5.36688525460693e-07	1.69538529068609e-05
Glycocholate	Fasting	Y	-1.07538158080162	0.210811928503521	202	100	7.96749806768628e-07	2.45398940484737e-05
Quinate	Age	Age	1.18583731877285	0.225140700026772	202	149	1.06041600104277e-06	3.18642076410902e-05
Proline	Gender	Male	0.255888696217939	0.0498398811688294	202	202	2.67679853543375e-06	7.85194237060567e-05
Acetoacetate	Fasting	Y	0.614411130896828	0.127814770479779	202	202	3.0923868759835e-06	8.86004797956201e-05
Deoxycarnitine	Gender	Male	0.3463848459479	0.0690934581783336	202	202	3.29839563306018e-06	9.23550777256849e-05
Glycerol	Fasting	Y	0.322034195872717	0.0671314315674239	202	202	3.45098825123934e-06	9.44803894561526e-05
N.Acetylputrescine	Dx	Control	-0.279180752327624	0.0564985567711312	202	202	3.98236591561671e-06	0.000106658148000865
Indole.3.Acetate	Fasting	Y	-0.515840783123987	0.108402715159057	202	200	4.2243937847191e-06	0.000110733045590935
Indole.3.Methyl.Acetate	Fasting	Y	-0.869538893122197	0.185446952858733	202	78	5.14066721983656e-06	0.000131943791975805
Trimethyllysine	Gender	Male	0.417034643219077	0.08613124693745	202	202	6.27133399078081e-06	0.000157679254625346
Pentadecanoic.acid	Fasting	Y	0.254273271808134	0.0559270481199831	202	202	9.60141229952749e-06	0.000236578799060357
Bis.2.Ethylhexyl.Phthalate	Fasting	Y	-0.51410300969449	0.113200211384054	202	202	1.03158128018919e-05	0.000249197673959429
Xylitol	Age	Age	0.219871484065877	0.0468431423900468	202	202	1.0580064034975e-05	0.000250666132520945
Betaine	Gender	Male	0.404985960964255	0.0905776614882345	202	202	2.58401472933467e-05	0.000589538175285243
Histidine	Dx	Control	-2.62285338915632	0.588363555555186	202	199	2.55117812658628e-05	0.000589538175285243
Xanthine	Gender	Male	-0.593525218189647	0.13225985571935	202	161	2.79069194804602e-05	0.000625114996362307
Cis.4.Hydroxy.D.Proline	Age	Age	-0.23617327403133	0.0537172541881054	202	202	2.92065322474561e-05	0.000631271012787121
Urate	Gender	Male	0.280367097392865	0.0631159623743166	202	202	2.88597666421125e-05	0.000631271012787121
Acetaminophen	Fasting	Y	-1.11853259642143	0.261322661167705	202	170	3.02856855645639e-05	0.000643309734750737
Palmitoyl.carnitine	Fasting	Y	0.322400751662794	0.0757119542195862	202	202	3.20290009643602e-05	0.000668808969289691
Galacturonate	Age	Age	0.222488849787787	0.0499579880414683	202	202	3.68384923395677e-05	0.00075641704270579
X2.Methylmaleate	Fasting	Y	-0.300010183058264	0.071058885908293	202	202	3.86519564645484e-05	0.000768051780069735
Trigonelline	Age	Age	0.772344870540573	0.176300509386366	202	202	3.82738047051084e-05	0.000768051780069735
Hypotaurine	Age	Age	-0.22398786048195	0.0516146439430955	202	202	4.07957005338974e-05	0.000778833569033439
Sarcosine	Fasting	Y	-0.197912600724893	0.0470821679401501	202	202	4.10910568077707e-05	0.000778833569033439
Trehalose	Fasting	Y	-0.91836537118055	0.218738868395413	202	155	4.08738531073356e-05	0.000778833569033439
Pyridoxine	Fasting	Y	-0.590230509162145	0.142258745311718	202	192	4.96446595320489e-05	0.000926700311264914
cis.7.10.13.16.Docosatetraenoic.acid	Dx	Control	-1.12940419301031	0.267331327703047	202	187	5.24705367900963e-05	0.000956712723166922
Norvaline	Gender	Male	0.219843981327031	0.051275921566176	202	202	5.28055723825898e-05	0.000956712723166922
Dimethylarginine	Fasting	Y	0.119756791344467	0.0294913807136785	202	202	7.23406764509945e-05	0.0012731959055375
Homoserine	Age	Age	-0.125646153877272	0.030224307504594	202	202	7.16968128659047e-05	0.0012731959055375
Phenylpyruvate	Fasting	Y	-0.585274104621141	0.144829660121021	202	126	7.65565467566731e-05	0.00132841782541157
Caffeine	Age	Age	0.531825732678692	0.129251889571633	202	202	8.65099299789934e-05	0.001480281024085
X2.3.Dihydroxybenzoate	Fasting	Y	-0.550744147766538	0.137231298909966	202	195	9.42387286365218e-05	0.00159043991342733
N.Acetylalanine	Fasting	Y	0.392660324537884	0.0987324598217939	202	202	9.97878015848552e-05	0.00166133204800732
Adenine	Dx	Control	-0.592777698367138	0.147814568215219	202	202	0.000110151381484972	0.00180942002652647
Valine	Gender	Male	0.201868826575682	0.0494746490783454	202	202	0.000112333917548018	0.00182099192656788
Cystine	Age	Age	0.141183001408262	0.0348387566699555	202	202	0.000114072610864732	0.00182516177383571
X2.6.Dihydroxypyridine	Age	Age	0.444109428057285	0.111111309534876	202	104	0.000138332191372132	0.00218493922782649
N.Acetyl.L.glutamine	Dx	Control	0.500212228762031	0.127042238592125	202	202	0.000149980269376927	0.00233893280851106
Trans.4.Hydroxy.L.Proline	Fasting	Y	-0.324694210395462	0.0840975029641866	202	202	0.000154931674145819	0.00238594778184561
Deoxyribose	Dx	Control	0.189547658448061	0.0480063639465009	202	202	0.000160358464469092	0.00243903244723359
Sn.Glycero.3.Phosphocholine	Dx	Control	0.487501985583311	0.123501425599325	202	202	0.000164292962046633	0.00246840157611527
Guanidinoacetate	Gender	Male	0.349876697162526	0.089694812566191	202	202	0.000209293693314767	0.00310662445980473
Nicotinate	Fasting	Y	-0.0979964241893703	0.0260805845047097	202	202	0.000226061295557698	0.00331556566817956
X2.Deoxy.D.Glucose.6.phosphate	Age	Age	0.179540296233619	0.0465294127071288	202	202	0.000231732327878985	0.00335875562290481
Alanine	Fasting	Y	-0.15469261711312	0.0421591151202153	202	202	0.000314854703700221	0.00445863212596175
Lysine	Age	Age	0.155688661900398	0.0413595017629176	202	202	0.0003112877408073	0.00445863212596175
X2.Methylmaleate	Age	Age	0.198217815936179	0.0522415395106238	202	202	0.000323220807539332	0.00452509130555064
X3.Hydroxyoctanoic.acid	Gender	Male	-0.414314937540458	0.110039650186289	202	202	0.000345502161356642	0.00478268160439757
N.Acetyl.L.glutamine	Fasting	Y	0.308251111780246	0.0853615862735495	202	202	0.000388750693026514	0.00532156504231851
Betaine	Fasting	Y	-0.187454426150777	0.0520012072378998	202	202	0.000407478084258523	0.00551662637150001
Salicylate	Fasting	Y	-0.536186152312502	0.149477064837726	202	191	0.000443242956729028	0.00593560133358872
Cis.4.Hydroxy.D.Proline	Fasting	Y	-0.279397765826971	0.0792080901638153	202	202	0.000525249763733954	0.00695814740774443
X10.HAD	Fasting	Y	-0.436001878693547	0.123895147995313	202	201	0.000538739067694406	0.00706092054680328
Leucine	Gender	Male	0.204871867348769	0.0571786521152641	202	202	0.000593721676434436	0.00769963268807605
X2.Hydroxyhexadecanoic.acid	Fasting	Y	0.169055610035371	0.0485919010553325	202	202	0.000619291152128068	0.00794756978564354
Tetradecanoylcarnitine	Fasting	Y	0.851865092776273	0.246815752534625	202	140	0.000682355883639353	0.00866662318189364
Serotonin	Dx	Control	-0.591135935967651	0.167993046324141	202	202	0.000691005636413226	0.00868692800062341
Adenosine	Dx	Control	-1.11473551100243	0.320054537742325	202	202	0.000724581275113093	0.00898469939065303
Guanosine	Dx	Control	-1.16739987509785	0.336160495812934	202	189	0.000751155874380895	0.00898469939065303
N.Alpha.Acetyllysine	Age	Age	0.304630831224097	0.0870046809638342	202	171	0.000733602250624024	0.00898469939065303
Quinate	Fasting	Y	-0.880559492420902	0.256108021049603	202	149	0.000743084916630221	0.00898469939065303
Xylitol	Fasting	Y	-0.253743129355589	0.0740562974807057	202	202	0.000746225017662792	0.00898469939065303
N.N.Diethyl.P.phenylenediamine	Dx	Control	-0.333234351924643	0.0975222572708304	202	202	0.000769077956040419	0.00911061578694035
NAPQI	Fasting	Y	-0.63886668364903	0.187040047923204	202	202	0.00077692743577878	0.00911575012573099
Serotonin	Age	Age	-0.261832274303313	0.0753412834679223	202	202	0.000784309669908673	0.00911575012573099
Stearic.acid	Fasting	Y	0.320161497657342	0.0948542034662397	202	202	0.000900749904158382	0.0103712512329264
Homocysteine	Fasting	Y	-0.247073662983605	0.0733014035548112	202	202	0.000922480611105602	0.0105231121563158
Homoserine	Dx	Control	0.230130566494884	0.0672253923496288	202	202	0.000931821738642723	0.0105321502936499
Mevalonate	Fasting	Y	-0.723059913641352	0.21576946745279	202	70	0.00096492622474409	0.0108071737171338
Omega.Hydroxydodecanoate	Fasting	Y	0.471937762036692	0.142008782189363	202	142	0.00106074440212373	0.0117733072379859
Creatinine	Gender	Male	0.184035651761506	0.0542115542922814	202	202	0.00107127474172001	0.0117840221589201
aminoadipate	Gender	Male	0.286130587636816	0.0846515477695831	202	202	0.0011319921040833	0.0123417192232799
Ribose	Dx	Control	-0.177404131809933	0.0527332565499253	202	202	0.00115694004096643	0.012503071319918
Ornithine	Gender	Male	0.322630561574683	0.096693472828602	202	202	0.00130774691329076	0.0140099495406454
Monoethylmalonate	Age	Age	0.11332027328602	0.034816916645003	202	202	0.00133583986329762	0.0141875406170919
Nicotinate	Gender	Male	-0.102053918914013	0.0306393108603694	202	202	0.00135459422319585	0.0142637613929683
X2.Hydroxypyridine	Age	Age	0.621802939974181	0.188135872773757	202	188	0.00139633628823389	0.0143788939362082
N.Acetylserine	Fasting	Y	-0.416597120993255	0.128521592969003	202	171	0.00140054161716314	0.0143788939362082
Rhamnose	Fasting	Y	-0.255774829291894	0.0788665880573467	202	201	0.0013891326175192	0.0143788939362082
Isoleucine	Gender	Male	0.182325383030906	0.0550492541865076	202	202	0.00141846184994383	0.0144425206539735
acetyl.lysine	Gender	Male	-0.157668144697674	0.0474871561440723	202	202	0.00144619975371794	0.0146042466932828
N.Acetylputrescine	Gender	Male	-0.177381764283204	0.0541406367294357	202	202	0.00163812903051712	0.0164079265495699
Trans.4.Hydroxy.L.Proline	Age	Age	-0.190187544626625	0.058753501538367	202	202	0.00167988260275674	0.0166904465048089
Palmitoleic.acid	Gender	Male	-0.422173978966466	0.130656782832271	202	202	0.00183645036684558	0.01810005481563
X4.Acetamidobutanoate	Fasting	Y	-0.168164154854856	0.0534309025489014	202	202	0.0019043093152738	0.0186199133048994
Nicotinamide	Age	Age	-0.172725024857131	0.0542195079659891	202	202	0.00206680367721497	0.0200496230734554
Propionyl.carnitine	Gender	Male	0.358044687075603	0.111821862988473	202	202	0.00208436787277662	0.020062040775475
Threonine	Fasting	Y	-0.124635533334469	0.0401838862948374	202	202	0.00227089330314017	0.0216879112361914
Alpha.Tocopherol	Fasting	Y	0.426772266581964	0.138308844609309	202	202	0.00232355667175011	0.0220201678430472
Guanine	Age	Age	-0.269264690603353	0.0855625388847588	202	199	0.00241356563518044	0.0226985714697886
Tyrosine	Fasting	Y	-0.123012589219994	0.0401316756204393	202	202	0.0025233976794149	0.023551711674539
Bilirubin	Fasting	Y	1.16689033979678	0.382014743845426	202	64	0.00258265961087957	0.0237450495567435
Creatinine	Age	Age	0.0770678146480097	0.0248382424298184	202	202	0.00257436967040996	0.0237450495567435
X3.Methyl.2.Oxovalerate	Fasting	Y	0.157080730483829	0.0516765056686304	202	202	0.00271683088850432	0.0245380955821027
Aspartate	Dx	Control	0.572895583499138	0.186293566226634	202	202	0.00274846611074316	0.0245380955821027
Oxoproline	Dx	Control	0.252049714026751	0.0820803055340776	202	202	0.0027485853817615	0.0245380955821027
Thiopurine.S.Methylether	Fasting	Y	-1.0121176572481	0.33363343693382	202	72	0.00274248386034282	0.0245380955821027
Myo.Inositol	Age	Age	0.073769582035839	0.0239973836534065	202	202	0.00288878041588692	0.0256041544775013
Glucose	Dx	Control	-0.180129362063044	0.0586763719979217	202	202	0.00294221704324154	0.0258915099805256
Hypoxanthine	Age	Age	-0.177433270197824	0.0570417965196177	202	202	0.00299065604279614	0.0261311223030131
N.Acetyltryptophan	Age	Age	0.192436836749034	0.0639696100498638	202	202	0.0034834977257806	0.0302230225222655
Kynurenine	Fasting	Y	-0.114099597923	0.0386634786883069	202	202	0.00358706542448503	0.0309039482724864
Trimethyllysine	Fasting	Y	-0.173008598470318	0.0587494435893046	202	202	0.00363516821512089	0.0311008836182565
Urate	Dx	Control	-0.194337093651482	0.0655532632497941	202	202	0.00388246941959369	0.0329876022409615
acetyl.lysine	Fasting	Y	-0.0984103208450977	0.03395014539844	202	202	0.00418472940462757	0.0351245735138752
Glycerol	Gender	Male	-0.326619853321047	0.109790618666054	202	202	0.00419100024881465	0.0351245735138752
Methyl.Vanillate	Age	Age	-0.25311433265155	0.0854773621259127	202	78	0.00422110043275332	0.0351378090077844
X2.6.Dihydroxypyridine	Fasting	Y	-0.499923762385139	0.173038244206921	202	104	0.00430298749223043	0.0355552380281521
Acetoacetate	Dx	Control	-0.549572672396702	0.186894097677536	202	202	0.00433363849170144	0.0355552380281521
L.Cysteic.Acid	Dx	Control	-0.68305095680322	0.235227575297075	202	202	0.00435782544013877	0.0355552380281521
Indole.3.Acetamide	Fasting	Y	-0.338361683360714	0.117283375733716	202	201	0.00444924255443676	0.0360622817570137
Paraxanthine	Age	Age	0.518063850471451	0.179056830286181	202	182	0.00505632249488555	0.040714962834634
X2.Deoxy.D.Glucose	Age	Age	-0.176302056217442	0.0613541048535063	202	202	0.00512081035773843	0.0409664828619075
Sarcosine	Gender	Male	0.216784321514455	0.0754875328094723	202	202	0.00523474696443842	0.0416077952270202
Bilirubin	Dx	Control	-1.72835927940203	0.606743426356697	202	64	0.00540060318877009	0.0426509174907997
Creatine	Gender	Male	-0.397736398489027	0.139225261338961	202	202	0.00547194989112626	0.0429391227125322
O.Acetylserine	Fasting	Y	-0.201531543322145	0.0720084995030327	202	190	0.00564066998004169	0.0439829456671605
Indoxyl.Sulfate	Fasting	Y	-0.408884335059997	0.146160218554336	202	201	0.00571463770811771	0.044279456958497
X2.Hydroxytetradecanoic.acid	Fasting	Y	0.387064082643697	0.139047581642353	202	54	0.0058988897266655	0.0454214508953244
Threitol	Fasting	Y	-0.224804827539313	0.0809476286636031	202	188	0.0060395975187965	0.0462160505786167
N.N.Diethyl.P.phenylenediamine	Age	Age	0.112222419206046	0.0405460606299849	202	202	0.00618223981064164	0.0470155521401883
Citrulline	Gender	Male	0.22700491841479	0.0807151930741448	202	202	0.00634589432098652	0.0479640601438981
N.Acetylputrescine	Fasting	Y	-0.096210943791125	0.034889696342003	202	202	0.00641367490681629	0.0481807773487663
X5.Methylcytosine	Dx	Control	-0.456795711695839	0.166308344419715	202	98	0.00697598645605367	0.0517221356510203
Gulonolactone	Gender	Male	-0.109648781129097	0.0397217345340116	202	202	0.00701103624490291	0.0517221356510203
Propionyl.carnitine	Age	Age	0.143830877012993	0.0518415669372842	202	202	0.00694045012310951	0.0517221356510203
Pyridoxal	Fasting	Y	-0.499952420346949	0.184648251704715	202	193	0.00737641076092331	0.0540936789134376
Guanine	Dx	Control	0.530819338082966	0.195213943028386	202	199	0.00770588101187448	0.0560506614104735
Histidine	Age	Age	0.713853614964065	0.261962155181718	202	199	0.00774220016931106	0.0560506614104735
Homoserine	Fasting	Y	-0.0928784564702653	0.0344952574547189	202	202	0.0078077848054521	0.0560506614104735
Pyridoxine	Dx	Control	0.461878578367323	0.171891979169734	202	192	0.00782525467743623	0.0560506614104735
Glutarylcarnitine	Gender	Male	0.362597347885021	0.133705490310299	202	202	0.00826958050033594	0.058890885412797
Rhamnose	Dx	Control	0.286743019783754	0.107017681193452	202	201	0.00842129894009855	0.0596266683574794
Lignoceric.acid	Fasting	Y	-0.366977212473236	0.138343908139448	202	68	0.00863745069267553	0.0608076528764358
Myristoleic.acid	Gender	Male	-0.322757985795018	0.119359269198101	202	202	0.00869027117148953	0.0608318982004267
Guanidinoacetate	Age	Age	0.112392781356712	0.041923616111291	202	202	0.00882404098061131	0.0614193134921646
Methionine.Sulfoximine	Dx	Control	-0.241855696942579	0.0904486494299263	202	202	0.00890994545786634	0.0616688359780412
Biliverdin	Fasting	Y	0.389304835406907	0.148197584197503	202	64	0.00929809555952337	0.0639958308901273
SAICAr	Dx	Control	0.739217360339442	0.280920814909103	202	188	0.00983301524302131	0.0673015265522348
Aleuritic.acid	Fasting	Y	0.792009463185358	0.304073648016835	202	51	0.00989870084525741	0.0673767924936858
Oxalate	Fasting	Y	-0.0978087368067716	0.0376704577451275	202	202	0.0101298667372933	0.0685714056062934
Indole.3.Methyl.Acetate	Age	Age	0.299805004011615	0.114831073040301	202	78	0.0104993361422878	0.0702999028657532
Ornithine	Age	Age	0.11910671830307	0.0455339598404087	202	202	0.0104715590787093	0.0702999028657532
Quinoline	Fasting	Y	-0.291080450040949	0.113150996858914	202	178	0.0108358553811919	0.072160939619613
Citrulline	Fasting	Y	-0.117392779985253	0.0459204909508096	202	202	0.0114498438502227	0.0758398259326576
D.Sedoheptulose	Fasting	Y	0.784967594436732	0.308269017903993	202	69	0.0116499172585714	0.0759402013892061
Lauroylcarnitine	Dx	Control	-0.541139998134487	0.210670470820321	202	198	0.0116098648666514	0.0759402013892061
Taurine	Gender	Male	-0.215183725300947	0.0831199509864602	202	202	0.0115393788031929	0.0759402013892061
Methionine.Sulfoximine	Fasting	Y	-0.163347260329431	0.0645982842120574	202	202	0.0122423527708272	0.0789874753080229
N.Acetylglycine	Age	Age	0.145909731420308	0.056757452464894	202	202	0.0122456232011626	0.0789874753080229
Dimethylglycine	Gender	Male	-0.0880306603136357	0.0342426882244495	202	202	0.0127103687390457	0.0811356180647891
GABA	Fasting	Y	-0.0543819735184931	0.0216098683143716	202	202	0.0126559165019542	0.0811356180647891
Ornithine	Fasting	Y	-0.161070916686913	0.0641293129670936	202	202	0.0128617524951597	0.0816787581135917
N.Acetyltryptophan	Fasting	Y	-0.224562642973217	0.0896637853865059	202	202	0.0131238510247147	0.0829158177561462
nicotinamide.N.oxide	Age	Age	-0.0951999807074904	0.037523317233432	202	202	0.0132751721203551	0.0834439390422321
Allothreonine	Dx	Control	0.086751120708157	0.0344715819952304	202	202	0.0135994306974539	0.0850482163414375
Norvaline	Age	Age	0.0595931433576404	0.0238577760451848	202	202	0.0144054859710141	0.0896341349307543
X5.Aminopentanoate	Fasting	Y	-0.0839083560285006	0.0340702785629749	202	202	0.0146460802962129	0.0906732207283127
X6.Carboxyhexanoate	Dx	Control	-0.635465116019901	0.258652472085252	202	134	0.014882234507469	0.0908368752057954
cis.5.Dodecenoic.acid	Gender	Male	-0.45006225160688	0.180268515914237	202	196	0.014862001855105	0.0908368752057954
Malate	Dx	Control	0.214922826938891	0.086833303314886	202	202	0.0148937084347165	0.0908368752057954
Biliverdin	Dx	Control	-0.507905690041941	0.205448631975928	202	64	0.0150748357668774	0.0910401846313381
Lauroylcarnitine	Fasting	Y	0.360680171156095	0.147038975634802	202	198	0.01504909214847	0.0910401846313381
Deoxyribose	Age	Age	-0.0522135750843199	0.0213762593008837	202	202	0.0170888284824625	0.102699691172653
Sarcosine	Age	Age	-0.0857764961791088	0.0353498273898994	202	202	0.0172329447516484	0.103063048223451
X4.Acetamidobutanoate	Dx	Control	-0.174432126802948	0.0722131818085604	202	202	0.0173645773461246	0.103307934404253
Methylthioadenosine	Age	Age	0.185436965576879	0.0767726484602167	202	195	0.0174415993150038	0.103307934404253
X3..2.Hydroxyphenyl.Propanoate	Fasting	Y	-0.260170700140296	0.108748520583676	202	199	0.017702552662593	0.103854975620546
Dodecanoic.acid	Gender	Male	-0.352819438105289	0.1450973991811	202	202	0.0176187958743015	0.103854975620546
Caffeine	Gender	Male	-0.676551685840794	0.279853342675758	202	202	0.0179171255766146	0.104375384663884
Cis.4.Hydroxy.D.Proline	Gender	Male	0.274175191514818	0.113524511256833	202	202	0.0179606993090449	0.104375384663884
Mesaconic.acid	Dx	Control	-0.344556580425038	0.145231030260453	202	202	0.0195415207790902	0.11302889014009
Serine	Gender	Male	-0.15321216020608	0.0641964205740357	202	202	0.0197379100364191	0.113631332546114
Kynurenine	Dx	Control	-0.151238044268338	0.063692923086431	202	202	0.0199701300380023	0.114433489334041
Pipecolate	Fasting	Y	-0.202730381651374	0.0867626467171562	202	202	0.0206553112097621	0.117310108208095
Xanthine	Fasting	Y	0.272869887042865	0.116965659421392	202	161	0.0206625758775621	0.117310108208095
Crotonic.acid	Dx	Control	-0.15596668603349	0.0670341366056046	202	202	0.0209990721568033	0.118673655491659
Allothreonine	Gender	Male	-0.0740935606878038	0.0312800993579794	202	202	0.0212910599093718	0.119774364421672
Octanoic.acid	Fasting	Y	0.205037219582944	0.0887136554364769	202	202	0.0218723965552479	0.122485420709388
