feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Proline	Fasting	Y	-0.288528139117627	0.0385546168305385	156	156	1.03732063772066e-11	1.27797902567186e-08
X3.hydroxybutyric.acid	Fasting	Y	1.08364167569323	0.156460120946842	156	156	3.2534417568379e-10	8.01648048884858e-08
Linoleic.acid	Fasting	Y	0.834013092823145	0.122264132609577	156	156	2.89937396913062e-10	8.01648048884858e-08
Oleic.acid	Fasting	Y	0.883027495443787	0.128963454725674	156	156	2.85122217685669e-10	8.01648048884858e-08
Palmitic.acid	Fasting	Y	0.639147272023076	0.0927380511948907	156	156	2.46121847219791e-10	8.01648048884858e-08
Glycochenodeoxycholate	Fasting	Y	-1.53790597007003	0.236516505700604	156	124	1.53880344851221e-09	3.1596764142784e-07
Fructose	Fasting	Y	-1.0458833898136	0.164414202366923	156	156	3.0126057700809e-09	5.30218615534239e-07
Docosahexaenoic.acid	Fasting	Y	0.606075268919461	0.0988228755321015	156	156	1.23171487084046e-08	1.68608080097272e-06
Hexanoyl.carnitine	Fasting	Y	0.556870977768825	0.0907877476410167	156	156	1.12909412398826e-08	1.68608080097272e-06
acetyl.carnitine	Fasting	Y	0.458554399060465	0.0763694639499076	156	156	1.75893381018526e-08	1.96772193393326e-06
Glycerol.Myristate	Fasting	Y	0.861770538981562	0.143704886005227	156	103	1.83366602762269e-08	1.96772193393326e-06
Palmitoleic.acid	Fasting	Y	0.722719989079105	0.120789279627745	156	156	1.91661227331162e-08	1.96772193393326e-06
N.Acetylglycine	Fasting	Y	0.468941721017425	0.0778145699834317	156	156	2.43461952058338e-08	2.30727019181441e-06
Uridine	Fasting	Y	0.329559604802516	0.0570367194550016	156	156	4.96515859990262e-08	4.36933956791431e-06
Arachidonic.acid	Fasting	Y	0.495027254034973	0.0864516811194554	156	156	6.56751709252745e-08	5.39412070532921e-06
cis.11.Eicosenoic.acid	Fasting	Y	0.741567823276482	0.129657284073847	156	156	7.14776661117026e-08	5.5037802906011e-06
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Fasting	Y	0.895614388295124	0.160088776461687	156	149	1.25881049761697e-07	9.12267372390652e-06
cis.10.Nonadecenoic.acid	Fasting	Y	0.861049646211855	0.15492598799775	156	108	1.49590411182371e-07	1.02386325875934e-05
Octanoyl.carnitine	Fasting	Y	0.699102142573484	0.126497826663916	156	156	1.97840805816009e-07	1.28284143560696e-05
