feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3.hydroxybutyric.acid	Fasting	Y	1.06436929250335	0.150065032607007	156	156	1.0025104327579e-10	6.17546426578866e-08
Proline	Fasting	Y	-0.275684346703621	0.0387458149752598	156	156	5.80910642737454e-11	6.17546426578866e-08
Linoleic.acid	Fasting	Y	0.803606639837719	0.118463896189104	156	156	3.06963333156939e-10	9.01631472776302e-08
Oleic.acid	Fasting	Y	0.843415727903326	0.124730290377757	156	156	3.65921863951421e-10	9.01631472776302e-08
Palmitic.acid	Fasting	Y	0.613827124163987	0.0896101881793752	156	156	2.37568685931921e-10	9.01631472776302e-08
Glycerol.Myristate	Fasting	Y	0.870560931185355	0.136662404690172	156	103	2.75772554726696e-09	4.85359696318986e-07
Glycochenodeoxycholate	Fasting	Y	-1.44656202219603	0.227128266091193	156	124	2.6569153965661e-09	4.85359696318986e-07
Hexanoyl.carnitine	Fasting	Y	0.566360091395089	0.0893520484540713	156	156	3.56525895923249e-09	5.49049879721803e-07
Fructose	Fasting	Y	-0.992719933140793	0.162458475372342	156	156	9.32492650558647e-09	1.27647882832028e-06
Docosahexaenoic.acid	Fasting	Y	0.583283142110586	0.0970173648604318	156	156	1.86668049761051e-08	2.10641631031494e-06
Palmitoleic.acid	Fasting	Y	0.694954539529581	0.116453523885562	156	156	1.88072884849549e-08	2.10641631031494e-06
acetyl.carnitine	Fasting	Y	0.444243821437424	0.0751651408877489	156	156	2.57016991914232e-08	2.63870778365278e-06
Arachidonic.acid	Fasting	Y	0.495875450511706	0.0842647533683383	156	156	2.8439914762609e-08	2.69522884519495e-06
N.Acetylglycine	Fasting	Y	0.463267881835877	0.0786942960140669	156	156	3.69352371343237e-08	3.25030086782049e-06
Trigonelline	Fasting	Y	-1.07884091734515	0.189461695142857	156	156	9.30546038471685e-08	7.64288479598077e-06
Uridine	Fasting	Y	0.320454193710044	0.057355522484282	156	156	1.15643212517516e-07	8.90452736384871e-06
Octanoyl.carnitine	Fasting	Y	0.700128615718851	0.126687447537537	156	156	1.75769698372176e-07	1.27381334349718e-05
cis.10.Nonadecenoic.acid	Fasting	Y	0.831471568119488	0.151719869836786	156	108	1.98252035465939e-07	1.35692504274465e-05
cis.11.Eicosenoic.acid	Fasting	Y	0.671613785687619	0.123261713569022	156	156	2.30973208796305e-07	1.49767891177394e-05
