feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Oleic.acid	Fasting	Y	1.02972511976457	0.13313655282252	156	156	7.3383705102243e-12	3.74893273091837e-09
Palmitic.acid	Fasting	Y	0.727872352289314	0.0943675827914999	156	156	8.63035309935792e-12	3.74893273091837e-09
Proline	Fasting	Y	-0.314395973607616	0.0409611718065986	156	156	9.12889463697656e-12	3.74893273091837e-09
Linoleic.acid	Fasting	Y	0.958885301247953	0.128670590009283	156	156	2.35099344869344e-11	7.2410598219758e-09
X3.hydroxybutyric.acid	Fasting	Y	1.22253327697683	0.161109105674848	156	156	3.08114641898506e-11	7.32771175885618e-09
acetyl.carnitine	Fasting	Y	0.563350755134514	0.0760824608425231	156	156	3.56869079165074e-11	7.32771175885618e-09
Palmitoleic.acid	Fasting	Y	0.859178358898524	0.122524717561349	156	156	2.01080988061022e-10	3.53902538987399e-08
Docosahexaenoic.acid	Fasting	Y	0.685239311553655	0.102274784909552	156	156	1.31963836386818e-09	2.032243080357e-07
Arachidonic.acid	Fasting	Y	0.553313475155777	0.0867105424530851	156	156	4.5902243840075e-09	6.04376860422133e-07
Hexanoyl.carnitine	Fasting	Y	0.614152728693802	0.0958096077028936	156	156	4.90565633459523e-09	6.04376860422133e-07
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid	Fasting	Y	0.830571069086414	0.132559595223284	156	155	7.86718545962039e-09	8.81124771477483e-07
Glycerol.Myristate	Fasting	Y	0.942377933925013	0.1512085384722	156	103	9.1267653686788e-09	9.37014577851024e-07
Uridine	Fasting	Y	0.355647876567336	0.057536127315977	156	156	1.09034055793593e-08	1.03330735952082e-06
cis.11.Eicosenoic.acid	Fasting	Y	0.832652128068985	0.13456390275105	156	156	1.21793852859341e-08	1.0717859051622e-06
Glycochenodeoxycholate	Fasting	Y	-1.50006145145515	0.252206329015089	156	124	3.46816391609693e-08	2.84851862975428e-06
X3..4.Hydroxyphenyl.Pyruvate	Fasting	Y	-0.676009565448236	0.115044396675388	156	156	4.7539589224126e-08	3.6605483702577e-06
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Fasting	Y	1.00246837339953	0.171384443622511	156	149	5.46957874243971e-08	3.96383588863866e-06
Trigonelline	Fasting	Y	-1.2156521459283	0.205799240280445	156	156	6.17389718797085e-08	4.22568963087783e-06
N.Acetylglycine	Fasting	Y	0.43629205273804	0.0750502197219654	156	156	9.08521165116726e-08	5.89104250223056e-06
Fructose	Fasting	Y	-1.04642781738671	0.183317455721963	156	156	9.87995296331565e-08	6.08605102540244e-06
Myristoleic.acid	Fasting	Y	0.576635291558472	0.101523356868087	156	156	1.20204854303365e-07	7.05201811913075e-06
Octanoyl.carnitine	Fasting	Y	0.742028719649483	0.133930567090398	156	156	2.53767160559276e-07	1.42109609913195e-05
Caffeine	Fasting	Y	-0.911812465847059	0.165104446273349	156	156	2.65682341037484e-07	1.42313323547035e-05
cis.5.Dodecenoic.acid	Fasting	Y	0.973805421305338	0.178514871195703	156	150	3.15330920537047e-07	1.61869872542351e-05
Ximeninic.Acid	Fasting	Y	0.760369812311483	0.140829736675017	156	156	4.31404735805045e-07	2.12596253804726e-05
Xylose	Fasting	Y	-0.424625827121443	0.0794398807476482	156	156	5.78499060427525e-07	2.74119554787196e-05
Myristic.acid	Fasting	Y	0.519729072997282	0.0985702607630238	156	156	7.77309136184157e-07	3.54683279918104e-05
