feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Glycerol.Myristate	Fasting	Y	0.939099844728805	0.160055188477085	97	68	1.06705460053737e-07	2.68499661259942e-05
Linoleic.acid	Fasting	Y	0.854114591972959	0.143115341131799	97	97	6.41605187019205e-08	2.68499661259942e-05
Oleic.acid	Fasting	Y	0.855654606994629	0.144173908608056	97	97	7.75115394951102e-08	2.68499661259942e-05
Palmitic.acid	Fasting	Y	0.588339571819728	0.100539457842948	97	97	1.08969018368483e-07	2.68499661259942e-05
Proline	Fasting	Y	-0.282551309486785	0.04751028882429	97	97	7.9303394490395e-08	2.68499661259942e-05
Uridine	Fasting	Y	0.392306834865833	0.0684057386719924	97	97	1.87246247122123e-07	3.84478960757427e-05
X3.hydroxybutyric.acid	Fasting	Y	0.991627695753552	0.177670332227868	97	97	3.3194284952829e-07	5.8421941516979e-05
Palmitoleic.acid	Fasting	Y	0.693497784588859	0.12666915897579	97	97	4.93598621099973e-07	7.60141876493958e-05
Fructose	Fasting	Y	-1.1389179205833	0.209996868036276	97	97	6.34098936337911e-07	8.6801098840923e-05
N.Acetylglycine	Fasting	Y	0.408770842291479	0.0754108394286761	97	97	7.41718538669432e-07	8.94123314634831e-05
Norvaline	Gender	Male	0.414527571451121	0.0617375521560391	97	97	7.98324388066813e-07	8.94123314634831e-05
Docosahexaenoic.acid	Fasting	Y	0.624334981215287	0.116741644323463	97	97	9.59859340938556e-07	9.85455590030251e-05
Valine	Gender	Male	0.372911585043743	0.0575530523699346	97	97	1.14908785670836e-06	0.000108898172266516
Trigonelline	Fasting	Y	-1.06347721890654	0.201586843189808	97	97	1.28393122345109e-06	0.000112985947663696
Hexanoyl.carnitine	Fasting	Y	0.54456202766409	0.108213045741818	97	97	3.39211871976895e-06	0.000278606017517023
Arachidonic.acid	Fasting	Y	0.492630608673505	0.0989772061787148	97	97	4.101117926061e-06	0.000315786080306697
acetyl.carnitine	Fasting	Y	0.451541140411089	0.0916868377074668	97	97	4.7354856105677e-06	0.000343183427777612
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Fasting	Y	0.917158094588892	0.19086452649925	97	90	7.41424898372517e-06	0.000487883757719042
Octanoyl.carnitine	Fasting	Y	0.705112995295152	0.146049487628299	97	97	7.52418132845925e-06	0.000487883757719042
cis.11.Eicosenoic.acid	Fasting	Y	0.711089153670271	0.149766320318881	97	97	9.16696621141748e-06	0.000537795351069825
Propionyl.carnitine	Fasting	Y	-0.323379721716314	0.0677080583100075	97	97	8.93937199510808e-06	0.000537795351069825
Leucine	Gender	Male	0.347557377133159	0.0636900769448912	97	97	1.53441633337865e-05	0.000827793872341677
Xylose	Fasting	Y	-0.42883517263646	0.0926856634953772	97	97	1.54539440453397e-05	0.000827793872341677
Proline	Gender	Male	0.384547746805232	0.0688045736828614	97	97	1.85200936089927e-05	0.00095069813859496
Ximeninic.Acid	Fasting	Y	0.690425332470034	0.154368249009801	97	97	2.60435989627435e-05	0.001283428556884
X3..4.Hydroxyphenyl.Pyruvate	Fasting	Y	-0.613326156832786	0.13802753777328	97	97	2.91204185074562e-05	0.00137985983081485
Isoleucine	Gender	Male	0.336415868375751	0.0655967910604345	97	97	3.75759270491759e-05	0.00171457563424388
Caffeine	Fasting	Y	-0.784891769614008	0.179350369042755	97	97	3.96990754736844e-05	0.00174675932084211
Linolenic.acid	Fasting	Y	0.702742630900497	0.161614243890796	97	97	4.11969841601381e-05	0.00175016153397552
cis.5.Dodecenoic.acid	Fasting	Y	0.815755835767791	0.188798944945169	97	94	4.5964873947086e-05	0.00188762415676033
X4.Guanidinobutanoate	Fasting	Y	-0.749833802548291	0.175575459043264	97	96	5.59047174422753e-05	0.00222176167383494
Dimethylarginine	Fasting	Y	0.165151836377333	0.0388560667634737	97	97	5.89086661937514e-05	0.00226798364845943
Myristoleic.acid	Fasting	Y	0.458136585348478	0.108615925104104	97	97	6.69286432270332e-05	0.00249866934714257
Sucrose	Fasting	Y	-0.981077537315786	0.233255372316595	97	73	7.00743447794062e-05	0.00253916449318319
Trigonelline	Age	Age	1.02216041569832	0.210371426229886	97	97	7.36384302267142e-05	0.00259207274398034
Deoxycarnitine	Gender	Male	0.452780481967724	0.0902552841076816	97	97	7.96139200970108e-05	0.00272456526554215
X3.Hydroxyoctanoic.acid	Gender	Male	-0.618456574044089	0.133352570920874	97	97	8.45316530955315e-05	0.00276562262176505
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid	Fasting	Y	0.639353696555208	0.154639995851757	97	96	8.75481187084717e-05	0.00276562262176505
Mannitol	Fasting	Y	-0.983829345673224	0.236893090684047	97	97	8.64610584106239e-05	0.00276562262176505
Glycochenodeoxycholate	Fasting	Y	-1.27314756747551	0.308623449684777	97	80	9.20691804510879e-05	0.00283573075789351
X9.Decenoic.acid	Fasting	Y	0.421658515356426	0.105611554426379	97	97	0.000154809828845104	0.00465184656432116
Myristic.acid	Fasting	Y	0.379521964928062	0.0958073494834123	97	97	0.00016673758033745	0.00489096902323186
cis.10.Nonadecenoic.acid	Fasting	Y	0.708138800082506	0.179346242879486	97	68	0.000172141222848351	0.00493204619881788
Propionyl.carnitine	Gender	Male	0.75055130470092	0.167187582138256	97	97	0.000189735727933506	0.00531260038213816
Dopamine	Age	Age	0.0862509032437127	0.0222321296850562	97	97	0.000196428559140813	0.00537777744136625
Homocysteine	Gender	Male	-0.751950884703657	0.173909437455149	97	97	0.000290125226925661	0.00777031042548726
aminoadipate	Gender	Male	0.553667150069529	0.135227137115769	97	97	0.000457310884219369	0.0118562984609432
