feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Thymidine	IIRN_Flare	never_flared	2.59398224259908	0.538074437667632	209	185	2.15593755367838e-05	0.0257418943909199
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.849185290954047	0.21449155659486	209	203	0.000398211358338769	0.101716637543237
Oleic.acid	IIRN_Flare	never_flared	1.23927701113238	0.312865258709231	209	209	0.000297337692991938	0.101716637543237
Sarcosine	Gender	Male	-0.787216009165784	0.219718190761639	209	177	0.000425949068439016	0.101716637543237
Succinic.Acid	IIRN_Flare	never_flared	-1.63551287828576	0.419987065630854	209	209	0.000364108037520991	0.101716637543237
Dimethylarginine	Gender	Male	1.53730563456987	0.410782625891969	209	208	0.00063223309941902	0.125814386784385
N.Acetylmethionine	Gender	Male	-0.818974223746831	0.222174627714994	209	208	0.000741605022725669	0.126496628162064
Allothreonine	Gender	Male	-0.662713924642714	0.196983894914413	209	191	0.000918169443687021	0.137036789470288
cis.10.Nonadecenoic.acid	IIRN_Flare	never_flared	0.86976580469545	0.26786240239873	209	199	0.00136524003050443	0.18112184404692
X3.Hydroxybenzyl.Alcohol	Gender	Male	-0.519107549032007	0.164627339200873	209	209	0.00313976734014045	0.192167893790285
aminoadipate	Age	Age	-0.308965045504271	0.101882756426288	209	209	0.00450644977062645	0.192167893790285
Benzyl.Alcohol	IIRN_Flare	never_flared	2.05940590803131	0.627736763963025	209	186	0.00212789759740203	0.192167893790285
cis.11.Eicosenoic.acid	IIRN_Flare	never_flared	0.978461701460797	0.296962622601232	209	209	0.00210543033880606	0.192167893790285
Cis.4.Hydroxy.D.Proline	Gender	Male	0.743324443120831	0.234500800423214	209	209	0.0032819889236532	0.192167893790285
Epinephrine	Gender	Male	-0.654772845346193	0.194423923727067	209	192	0.00185824151975012	0.192167893790285
Malonate	IIRN_Flare	never_flared	-0.607497864651566	0.201943127512079	209	209	0.00435972324753735	0.192167893790285
Methylarginine	Gender	Male	0.939747598411478	0.292604630882678	209	173	0.0029573568247325	0.192167893790285
Methylguanidine	IIRN_Flare	never_flared	1.32237128224591	0.426447458025932	209	138	0.00320294241011024	0.192167893790285
Methylmalonate	Gender	Male	-0.281968432589154	0.0928137098029667	209	209	0.00269595472210054	0.192167893790285
N.Acetylglycine	Gender	Male	-0.450970420799949	0.146976215878911	209	209	0.00410711268402764	0.192167893790285
N.Acetylneuraminate	Age	Age	-0.510875475151868	0.158051905139953	209	209	0.00260789361724271	0.192167893790285
Phosphoserine	Age	Age	-0.865910549443692	0.284018213906053	209	109	0.0044605085011865	0.192167893790285
Pyridoxal	Gender	Male	-0.623735426043218	0.205165554503192	209	209	0.00444756325095626	0.192167893790285
Taurine	IIRN_Flare	never_flared	-2.95085980371975	0.966193043029319	209	206	0.0040181958916203	0.192167893790285
Thymine	Gender	Male	0.672947680703513	0.228340394569683	209	205	0.00358470136302667	0.192167893790285
Trimethyllysine	Gender	Male	1.15761407012206	0.345037112867891	209	209	0.00186835932644899	0.192167893790285
Trimethyllysine	IIRN_Flare	never_flared	-1.26882843536067	0.412643176665518	209	209	0.00378436424485135	0.192167893790285
Xanthurenate	Gender	Male	-1.1831747107074	0.385328716025766	209	202	0.00388603682196682	0.192167893790285
P.Octopamine	Gender	Male	-0.321879159969355	0.106237130460527	209	209	0.00467291608342162	0.192395234607083
X5.Deoxyadenosine	IIRN_Flare	never_flared	0.850398965163856	0.289060848678773	209	207	0.00531076484221596	0.194802775742558
Adenosine.Diphosphate.Ribose	Age	Age	-0.355799891852152	0.126973616924703	209	112	0.00557024607782369	0.194802775742558
Arachidonic.acid	Age	Age	-0.439256586197074	0.148222526671804	209	186	0.00546712738543718	0.194802775742558
D.Sedoheptulose	IIRN_Flare	never_flared	-1.04995301778128	0.359164081843818	209	170	0.00547996032184297	0.194802775742558
