feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Didecanoyl.Glycerophosphocholine	Dx	Control	-3.06098124013402	0.263751275086841	294	239	1.84404527029518e-18	2.20179005273244e-15
Threitol	Dx	Control	-2.57648601631075	0.2463345524393	294	247	3.29300210994554e-17	1.96592225963749e-14
N6..Delta2.Isopentenyl..Adenine	Dx	Control	-3.07555158517814	0.395265734043851	294	192	1.30758141458465e-13	5.20417403004691e-11
N.Formyl.L.Methionine	Dx	Control	2.7882086731111	0.409336826318274	294	270	4.96698961532033e-10	1.48264640017312e-07
Homoserine	Dx	Control	-1.03654670996722	0.155509090792272	294	294	1.15214844503698e-09	2.7513304867483e-07
Pyridoxine	Dx	Control	-1.50999874480652	0.237230223344131	294	294	9.72708652022947e-09	1.93569021752567e-06
N.Formylglycine	Dx	Control	1.75444075873486	0.285368945237499	294	291	1.28698859930842e-08	2.19523483939179e-06
Methionine.Sulfoximine	Dx	Control	-1.24772786027979	0.230517137842345	294	281	3.31524622817643e-07	4.94800499555333e-05
cis.5.Dodecenoic.acid	Dx	Control	-2.6499237560488	0.535909564344199	294	272	1.29958544842131e-06	0.00017241166949056
Lithocholyltaurine	Age	Age	-0.608343082066231	0.125884005479555	294	85	9.04119157111878e-06	0.00107951827359158
Ureidopropionate	Dx	Control	-1.85035925435179	0.424404515544969	294	194	2.48979921439363e-05	0.00270256387453272
X2.Aminophenol	Dx	Control	-1.09365854600824	0.263231454060261	294	200	4.30115016657773e-05	0.00427964441574484
cis.10.Nonadecenoic.acid	Dx	Control	1.04431586323088	0.248489141857292	294	283	4.95480654268169e-05	0.00455079923997072
Gulonolactone	Dx	Control	-0.775119228505425	0.184852015482155	294	294	6.24992197563397e-05	0.00533029059921926
X3.hydroxybutyric.acid	Dx	Control	-0.725715648427668	0.175764967541848	294	294	7.06957429726938e-05	0.00562738114062643
Beta.hydroxyvaleric.Acid	Dx	Control	-0.731374291538887	0.179385449977701	294	294	8.26298591190942e-05	0.00616625323676241
Eicosapentaenoic.acid	Dx	Control	1.04444076863462	0.265503932295078	294	283	0.000129321686580148	0.00908294669274684
Deoxycarnitine	Dx	Control	-1.34257271600461	0.342123537341128	294	294	0.00015294065087007	0.0099057016266619
N.Acetylleucine	Dx	Control	-0.8872605630892	0.227170978199713	294	289	0.000157628417844704	0.0099057016266619
Beta.Alanine	Dx	Control	-1.02142958520925	0.266219117852969	294	292	0.000198899246388251	0.0118742850093786
N.Acetylneuraminate	Dx	Control	-1.34838448770066	0.350751363123127	294	292	0.000212640235144217	0.0120901162267712
Indole.3.Pyruvate	Dx	Control	-0.773544636546819	0.20646573038016	294	294	0.000279593343332226	0.0139097688307782
Isoleucine	Dx	Control	-1.16129595176098	0.30861102822714	294	294	0.000269772783474448	0.0139097688307782
Octanoic.acid	Dx	Control	0.85935709060781	0.226691385804855	294	294	0.000258860330607601	0.0139097688307782
X3..2.Hydroxyphenyl.Propanoate	Dx	Control	-0.638330625583402	0.171764718987816	294	294	0.000330964995341831	0.0151989309399287
Thiopurine.S.Methylether	Dx	Control	-0.639893428444071	0.172762994285904	294	294	0.000328182815864093	0.0151989309399287
Threonine	Dx	Control	-0.796492748318583	0.216225842260551	294	294	0.000353153919833393	0.0156172511215211
Mannitol	Dx	Control	-0.950544927571095	0.259734212441251	294	293	0.000389602425786072	0.0166137605853061
Trans.4.Hydroxy.L.Proline	Dx	Control	-0.582174859720161	0.159799432279425	294	292	0.000424603649165304	0.0174819571414956
Riboflavin	Dx	Control	-1.81175823863606	0.500706069281167	294	238	0.000449646936131453	0.0178959480580318
Urate	Dx	Control	-1.42599777427314	0.396749064322794	294	287	0.000512141163057495	0.0197256951190532
X10.Hydroxydecanoic.acid	Dx	Control	-0.891703637649336	0.249488346373428	294	283	0.000550951108568508	0.0205573632384625
Deoxycytidine	Dx	Control	-0.688677857903802	0.196147013555964	294	292	0.000704037353833464	0.0254733515296108
X6.Carboxyhexanoate	Dx	Control	-0.835677632514986	0.239941640411717	294	294	0.000785094280565907	0.0267829305998769
Rhamnose	Dx	Control	-0.55910108021661	0.161860332290953	294	294	0.000766081132545863	0.0267829305998769
Phenylalanine	Dx	Control	-1.17470287991856	0.340941666628925	294	294	0.000822325291579974	0.0272737888374025
Dodecanoic.acid	Gender	Male	-0.581944189574805	0.167106475700951	294	294	0.00089001923538563	0.0287211612716336
Cys.Gly	Dx	Control	-0.750145312883866	0.220941623899852	294	290	0.00103279041547848	0.0324513620021395
X5.Aminopentanoate	Dx	Control	-0.926455434570218	0.27700734392618	294	294	0.00111460650396367	0.032459516237381
Dimethylarginine	Gender	Male	1.10994785207726	0.326410950738897	294	293	0.00109078356712559	0.032459516237381
Shikimate	Age	Age	0.67474073311172	0.199809558991894	294	294	0.00110061296063328	0.032459516237381
Linoleic.acid	Dx	Control	0.887773415722034	0.267405904274516	294	294	0.00115945398713176	0.0328656906748033
Methylarginine	Gender	Male	0.961904334673491	0.281190862670763	294	241	0.00118360527555824	0.0328656906748033
Methionine	Dx	Control	-0.929954127118382	0.280797220212896	294	294	0.0012411110500037	0.0336792407660096
Citrate	Dx	Control	-1.00217890387219	0.305051267032227	294	294	0.00143523638726715	0.0372537444868907
Nicotinamide	Dx	Control	-1.77503317136905	0.540615811722615	294	289	0.00142038690247049	0.0372537444868907
Indoxyl.Glucoside	Dx	Control	-1.04162705379952	0.315992784122241	294	266	0.00147439268641166	0.0374558482462876
Glucuronolactone	Dx	Control	-1.02548202952651	0.314384342040091	294	294	0.00150677647850516	0.0374810649028158
Indole.3.Methyl.Acetate	Age	Age	0.532828352275013	0.16338797429727	294	283	0.00163587391178732	0.0398619071566136
X14.Methylhexadecanoic.acid	Dx	Control	0.611655878696881	0.190186110701201	294	294	0.00181373393372968	0.0433119663374649
cis.7.10.13.16.Docosatetraenoic.acid	Age	Age	-0.806116919259542	0.249648992382583	294	151	0.00187456774628296	0.0433178325759224
Raffinose	Dx	Control	-1.07003606635773	0.334791971274556	294	291	0.00188653877215073	0.0433178325759224
Citramalate	Dx	Control	-0.558507950761403	0.17699502620305	294	294	0.00208970054912434	0.0467327000612541
Mesaconic.acid	Dx	Control	-0.511059657809786	0.162554122685814	294	294	0.00211353919875019	0.0467327000612541
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.581374557498889	0.186819780297803	294	287	0.00257075202078	0.0529220329795055
X2.hydroxyglutarate	Dx	Control	-0.568649999124964	0.184504053509176	294	294	0.00255900679100129	0.0529220329795055
Fructose	Dx	Control	-0.750398916745127	0.242742790709382	294	294	0.00256908184187769	0.0529220329795055
Raffinose	Age	Age	0.439452552659003	0.140858989565032	294	291	0.00254560763446884	0.0529220329795055
X2.4.Dihydroxypteridine	Dx	Control	-0.715441507713066	0.231532828765149	294	270	0.00262841194273572	0.0531919298241772
Tyrosine	Dx	Control	-0.850616181835001	0.279035911972733	294	294	0.00286515444894565	0.0570165735340184
N.Acetylputrescine	Dx	Control	-1.76022302807775	0.580664682334904	294	294	0.00309573475513594	0.0596193943022983
Oxalate	Dx	Control	-0.975687481553002	0.320541665119638	294	294	0.00309581444450795	0.0596193943022983
Indole.3.Pyruvate	Age	Age	0.247629099568937	0.0811738120207577	294	294	0.00333061929450465	0.0621368662131025
N.Acetylmethionine	Gender	Male	-0.576880183456512	0.189996413637531	294	293	0.00332484887559725	0.0621368662131025
Indole.3.Acetamide	Dx	Control	-0.819344901329975	0.276851728204212	294	181	0.00367863168874738	0.0675736344056057
Gemcitabine	Age	Age	0.468694572474227	0.156104012115418	294	110	0.00376823404289278	0.0681707795032422
Sucrose	Dx	Control	-0.644885963171732	0.218703739021477	294	292	0.00396323067958414	0.070310772261608
Valine	Dx	Control	-0.712775250508482	0.242251471543124	294	294	0.00400429858776327	0.070310772261608
Citrulline	Gender	Male	0.692367661994889	0.233134323278952	294	294	0.00414197258811555	0.0709919617683114
Methyl.Galactoside	Dx	Control	-0.357672919783772	0.121968306756306	294	294	0.00416200780886247	0.0709919617683114
Asparagine	Dx	Control	0.950188625200948	0.325929664517541	294	281	0.00442597396893996	0.0736395543855765
Citrate	Age	Age	0.367835557208279	0.124432191263154	294	294	0.00444057614385386	0.0736395543855765
Tyramine	Dx	Control	-1.35174902184423	0.464873696417815	294	294	0.00452559960163995	0.0740214510186041
Galactarate	Dx	Control	-0.858746328168774	0.297126122387208	294	268	0.00472525365666029	0.0762426062980052
Sarcosine	Gender	Male	-0.634958019028179	0.224083812742721	294	247	0.00492948551843939	0.0784774094535551
Leucine	Dx	Control	-0.845516878801266	0.296359152704375	294	294	0.00519972077023453	0.0795957256366671
N.Acetylputrescine	Gender	Male	1.4589489836483	0.506906327310942	294	294	0.0051888513911205	0.0795957256366671
Oleic.acid	Dx	Control	0.738381371409832	0.25843001364772	294	294	0.00509038994251139	0.0795957256366671
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Age	Age	-1.05858877113623	0.368891316873696	294	156	0.00535073368134238	0.079859700194035
Orotate	Gender	Male	0.717669213023806	0.248421477588419	294	290	0.00534482231999611	0.079859700194035
Galacturonate	Dx	Control	-0.709930389734438	0.250362035759602	294	294	0.00546880646831761	0.0806142583107559
Paraxanthine	Age	Age	0.477689101664849	0.168578045570436	294	176	0.0059883899354042	0.0871967997911294
Lactose	Dx	Control	-1.13295610065047	0.406264766785648	294	251	0.00617540452442689	0.0879906136541977
Trans.4.Hydroxy.L.Proline	Gender	Male	0.359175086213579	0.124979768051726	294	292	0.00619029442793351	0.0879906136541977
Guanosine	Age	Age	0.33838913221811	0.119820404346503	294	290	0.00643697080589915	0.0904205075558069
D.Pinitol	Dx	Control	-0.807745688308387	0.293001233336508	294	272	0.00673686034196421	0.0935326889337821
Carnitine	Dx	Control	-0.700500974851887	0.254627118025755	294	294	0.00690624072520779	0.0937051298397511
Glycerate	Dx	Control	0.533901492209123	0.193769956726694	294	293	0.00685909815250518	0.0937051298397511
X2.Deoxy.D.Glucose	Dx	Control	-0.752626932616671	0.274679680568484	294	294	0.00718437460043915	0.0942653106914763
Arachidonic.acid	Age	Age	-0.420757590237159	0.151113937624887	294	263	0.00716161091242071	0.0942653106914763
Glycochenodeoxycholate	Gender	Male	1.74990689227675	0.631845502921989	294	113	0.00712552080954633	0.0942653106914763
Uracil	Dx	Control	-0.8178317725125	0.299297288260265	294	294	0.00741830616267753	0.0962767125895323
Cortisone	Age	Age	-0.304995055593227	0.112084997698355	294	99	0.00824664696834007	0.105876306238689
N.Acetylserine	Dx	Control	-0.643951815037894	0.241061184758011	294	294	0.00864063561367855	0.109754456624811
Epinephrine	Gender	Male	-0.479387712396654	0.176940731485632	294	270	0.00884252471422451	0.110565760684565
Saccharate	Dx	Control	-0.783073463542524	0.296148331449804	294	144	0.00903855224971184	0.110565760684565
Sedoheptulose.7.phosphate	Dx	Control	-1.30420407872715	0.488734980718434	294	251	0.00907491168097769	0.110565760684565
Xanthosine	Age	Age	0.575932243936831	0.21371879832031	294	196	0.00890985007692672	0.110565760684565
X2.Aminoisobutyrate	Dx	Control	-0.380517110701665	0.144774520749153	294	294	0.0099436792809745	0.119926798600844
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Gender	Male	1.00994192539919	0.383531668237508	294	287	0.0102763343697037	0.122699432374263
N.Acetylglucosamine	Gender	Male	0.631416170712727	0.24631491368769	294	294	0.0122661507045383	0.143586117070772
