feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lithocholyltaurine	Age	Age	-0.570046946794594	0.144889141090071	250	73	0.000297867298165832	0.355653554010004
cis.7.10.13.16.Docosatetraenoic.acid	Age	Age	-0.943245807246983	0.285772147973757	250	137	0.00180649222828676	0.446983431583085
N.Acetylmethionine	Gender	Male	-0.769082750946826	0.229015905965155	250	249	0.00160999360179436	0.446983431583085
Sarcosine	Gender	Male	-0.792054519589119	0.242119390215992	250	209	0.00122836507815097	0.446983431583085
Shikimate	Age	Age	0.794107342550559	0.244066182241479	250	250	0.00187178991450203	0.446983431583085
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.638561305927672	0.216874744819188	250	243	0.00477222910540028	0.456279490060534
X2.hydroxyglutarate	Age	Age	0.201480772062451	0.0853789963482399	250	250	0.0220469503574308	0.456279490060534
X2.Hydroxypyridine	Gender	Male	-0.499567554761287	0.196898633142448	250	250	0.0157355898267441	0.456279490060534
X3.hydroxybutyric.acid	Gender	Male	-0.457145523365428	0.187076574802141	250	250	0.0185012640611727	0.456279490060534
X3.hydroxybutyric.acid	Age	Age	-0.246131570210123	0.0906571872811699	250	250	0.00909996689110546	0.456279490060534
X3.Sulfinoalanine	Gender	Male	-0.441682255424034	0.184892197304896	250	237	0.0220933866094223	0.456279490060534
X4.Hydroxybenzaldehyde	CRP_Category	Normal	0.265601832189085	0.110519509870047	250	250	0.0171944353776172	0.456279490060534
X5.Hydroxymethyluracil	CRP_Category	Normal	0.529168330454198	0.189226706727912	250	200	0.00559864088823834	0.456279490060534
X5.Deoxyadenosine	CRP_Category	Normal	0.435998721697108	0.180143563290406	250	247	0.0162632215598328	0.456279490060534
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid	Age	Age	-0.548327845845617	0.21242474330414	250	232	0.0126158552729669	0.456279490060534
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid	CRP_Category	Normal	-0.785087047437166	0.338813393393358	250	232	0.0213592784369482	0.456279490060534
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Age	Age	-0.625189044773612	0.248085962517251	250	137	0.0152677590915506	0.456279490060534
all.cis.4.7.10.13.16.Docosapentaenoic.acid	CRP_Category	Normal	-0.956924800671829	0.374961059661906	250	137	0.011339127140757	0.456279490060534
aminoadipate	Age	Age	-0.240844825347128	0.0967150302974025	250	250	0.0160810465280499	0.456279490060534
Arginine	CRP_Category	Normal	-0.611328655385521	0.205043567070404	250	250	0.00317339416801555	0.456279490060534
Bis.2.Ethylhexyl.Phthalate	Gender	Male	1.02985680597127	0.437433690783059	250	250	0.0233107612174979	0.456279490060534
cis.7.10.13.16.Docosatetraenoic.acid	CRP_Category	Normal	-1.32884225028974	0.462511469266236	250	137	0.00444145077569378	0.456279490060534
Citrate	Age	Age	0.380540481224844	0.133484544763244	250	250	0.0068878407018186	0.456279490060534
Cysteine	CRP_Category	Normal	0.236439179452845	0.103261443800332	250	250	0.0231327023844233	0.456279490060534
Deoxycholate	Gender	Male	1.02112970821653	0.432677292337989	250	250	0.0230275072227422	0.456279490060534
Diethanolamine	CRP_Category	Normal	0.391468056703553	0.162014076297004	250	247	0.0164436943610797	0.456279490060534
Dihydrouracil	Age	Age	-0.530268549776769	0.204176051610033	250	101	0.0123699131974279	0.456279490060534
Dimethylarginine	Gender	Male	1.07826521915084	0.376576234043374	250	249	0.00614739045094951	0.456279490060534
Dimethylglycine	CRP_Category	Normal	0.268221083546271	0.107742383466844	250	250	0.0135547890969532	0.456279490060534
Dodecanoic.acid	Gender	Male	-0.577806226671949	0.190404231493502	250	250	0.00401967116965758	0.456279490060534
Epinephrine	Gender	Male	-0.552224430915042	0.205447453218148	250	229	0.0104397447334492	0.456279490060534
Erucic.acid	Age	Age	-0.610137021828348	0.253520316949931	250	191	0.0197098229747779	0.456279490060534
Gemcitabine	Age	Age	0.425996632797953	0.173273663496317	250	97	0.0181166535646546	0.456279490060534
Glucosaminate	CRP_Category	Normal	0.585806435627824	0.228845836150923	250	206	0.0112595476441283	0.456279490060534
Glycochenodeoxycholate	Gender	Male	0.945998228825246	0.389336733156276	250	100	0.0188108776924749	0.456279490060534
Glycochenodeoxycholate	CRP_Category	Normal	-0.739586783801144	0.313403910189876	250	100	0.0191149795565441	0.456279490060534
Guanine	Age	Age	0.230258576436008	0.0928173416462081	250	250	0.0172416505159973	0.456279490060534
Histamine	Age	Age	0.510316648109139	0.195229087445764	250	250	0.0117885550047672	0.456279490060534
Indole.3.Methyl.Acetate	Age	Age	0.591554558824352	0.205576297135167	250	241	0.00581509075581149	0.456279490060534
Indole.3.Pyruvate	Age	Age	0.262910643848945	0.0929079192621182	250	250	0.00709946990698083	0.456279490060534
Indole.3.Pyruvate	CRP_Category	Normal	0.422638243981585	0.173628891558413	250	250	0.0157590418821009	0.456279490060534
Kynurenine	Gender	Male	-0.409822788712573	0.152673755369509	250	244	0.0113520392558929	0.456279490060534
Maleimide	CRP_Category	Normal	0.378259411176025	0.148831063219279	250	242	0.0117208198129047	0.456279490060534
Mesaconic.acid	Age	Age	0.198859980744519	0.0723139002435615	250	250	0.00816191805866162	0.456279490060534
Methyl.4.Aminobutyrate	Gender	Male	-0.375150323629197	0.155716757017212	250	250	0.0204967275603858	0.456279490060534
Methylarginine	Gender	Male	0.765035807331702	0.322764720034809	250	210	0.0231760840841258	0.456279490060534
Methylmalonate	Gender	Male	-0.282176001513456	0.109427722371774	250	250	0.0158917364939907	0.456279490060534
N.Acetylalanine	Gender	Male	0.372248950034346	0.146537631288543	250	250	0.0146571864216961	0.456279490060534
N.Acetylglucosamine	Age	Age	-0.326770931911592	0.130325601382808	250	250	0.015021201743047	0.456279490060534
N.Acetylneuraminate	Age	Age	-0.385064926825011	0.150076807040253	250	250	0.0131294158123592	0.456279490060534
N.Acetylputrescine	Gender	Male	1.44137261979774	0.612834102111184	250	250	0.022817668526073	0.456279490060534
Orotate	Gender	Male	0.769791241736134	0.280483761083418	250	246	0.00905450475400397	0.456279490060534
P.Octopamine	Gender	Male	-0.267183503860375	0.110653709447761	250	250	0.0210683048439648	0.456279490060534
P.Octopamine	CRP_Category	Normal	0.276953441644993	0.10404097083763	250	250	0.00839469742390051	0.456279490060534
Pyridoxal	Gender	Male	-0.575895898884196	0.226667519419405	250	250	0.0147553845817314	0.456279490060534
Quinolinate	Gender	Male	-0.60926469176964	0.228776644998308	250	250	0.0105796418753416	0.456279490060534
Raffinose	Age	Age	0.383083501510472	0.160691901351413	250	249	0.0208585424077188	0.456279490060534
Sorbate	CRP_Category	Normal	0.589334553734009	0.243801396290024	250	238	0.0163916239563963	0.456279490060534
Succinyladenosine	Age	Age	0.45624367285063	0.185750922921922	250	89	0.0178380987424045	0.456279490060534
Thymine	Gender	Male	0.598786274509721	0.221869576409373	250	246	0.0107552230696174	0.456279490060534
Thyrotropin.Releasing.Hormone	Age	Age	0.242616879757814	0.105592107897246	250	150	0.0224447196360435	0.456279490060534
Dimethylarginine	CRP_Category	Normal	-0.562145347983594	0.248803742968387	250	249	0.0247604662449669	0.469269788833183
Xanthurenate	CRP_Category	Normal	0.682289471451567	0.301513549673521	250	239	0.0245595688137325	0.469269788833183
X5.Valerolactone	Age	Age	-0.249078404904645	0.11085110296926	250	250	0.0291855469825902	0.48406730850561
Arachidonic.acid	Age	Age	-0.35094240787156	0.152738131510237	250	227	0.026652268899415	0.48406730850561
Cholate	Gender	Male	1.43413177054068	0.624860020135226	250	244	0.0269384485664645	0.48406730850561
Cytidine	Age	Age	0.283413428114372	0.127675079110052	250	250	0.0311562819442852	0.48406730850561
Dehydroascorbate	Gender	Male	-0.463005102783981	0.202497850247014	250	230	0.027192325428993	0.48406730850561
Deoxycarnitine	Age	Age	-0.376070286995499	0.167081166664283	250	250	0.0285403674394093	0.48406730850561
Deoxycytidine	CRP_Category	Normal	0.310954522061137	0.141921461676701	250	249	0.0295233437136309	0.48406730850561
Guanosine	Age	Age	0.262967445735029	0.117147707654839	250	250	0.0305079702316694	0.48406730850561
N.Methylaspartate	CRP_Category	Normal	0.631786271175248	0.290142692958993	250	224	0.030473929458282	0.48406730850561
Oleic.acid	Gender	Male	-0.605051228280579	0.273549267781208	250	250	0.0312170709840301	0.48406730850561
Paraxanthine	Age	Age	0.43595135633539	0.194884022988764	250	145	0.0298972274759254	0.48406730850561
Propionyl.carnitine	Gender	Male	-0.512359441209456	0.224349007942438	250	250	0.0288483531221888	0.48406730850561
Salicylate	Gender	Male	-0.432405965272072	0.191063418238013	250	250	0.0280759695910441	0.48406730850561
Salsolinol	Gender	Male	-0.553351802912792	0.246472075658475	250	249	0.0298793375942372	0.48406730850561
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Gender	Male	0.973565195666398	0.447142102324369	250	243	0.0342719431858686	0.486973939559706
X3.Hydroxyoctanoic.acid	Gender	Male	-0.362239239159517	0.169314147859506	250	250	0.0380470613639596	0.486973939559706
Allothreonine	CRP_Category	Normal	0.435915911571244	0.208797338986725	250	228	0.0378799713612094	0.486973939559706
cis.11.Eicosenoic.acid	Age	Age	-0.264171129594091	0.124512180751636	250	250	0.0386723786027374	0.486973939559706
Cystine	CRP_Category	Normal	-0.945843789251956	0.444710297292563	250	169	0.0344883492618327	0.486973939559706
D.Sedoheptulose	CRP_Category	Normal	0.545214128850804	0.256713945842671	250	208	0.0347599748819057	0.486973939559706
Decanoic.acid	Gender	Male	-0.388258108963249	0.181238975860055	250	250	0.0378885578251135	0.486973939559706
Deoxyuridine	CRP_Category	Normal	0.553718997544073	0.262270525724513	250	239	0.0358717876705401	0.486973939559706
Guaiacol	CRP_Category	Normal	0.298288252377921	0.141302603937888	250	247	0.0358409294683353	0.486973939559706
Kynurenate	CRP_Category	Normal	0.456011183569357	0.213297193281675	250	242	0.0335466901287315	0.486973939559706
Kynurenine	CRP_Category	Normal	-0.29980483101632	0.142564440431101	250	244	0.036720963449487	0.486973939559706
Methyl.Vanillate	CRP_Category	Normal	0.292436009000248	0.140493179173948	250	250	0.0384532191061054	0.486973939559706
N.Methylaspartate	Gender	Male	-0.770820742994934	0.359137233266508	250	224	0.0387458327120369	0.486973939559706
Pentanoate	Age	Age	-0.308227738273143	0.144119762920484	250	250	0.0369518364682802	0.486973939559706
Picolinate	CRP_Category	Normal	0.203167824563492	0.0959117374875982	250	250	0.0352904550249316	0.486973939559706
Stachyose	Age	Age	0.544617763020766	0.254084394367992	250	160	0.036772091535077	0.486973939559706
Trigonelline	Gender	Male	0.871529403165295	0.402491893415032	250	250	0.035449128639278	0.486973939559706
Trimethyllysine	Gender	Male	0.865286427655498	0.40638220842624	250	250	0.0383825919428006	0.486973939559706
Hypotaurine	Gender	Male	-0.57539613519025	0.26984900187646	250	250	0.039409002445562	0.488235883403964
Xanthosine	Age	Age	0.511605543298096	0.241530683918046	250	175	0.039664054179384	0.488235883403964
X4.Acetamidobutanoate	Age	Age	-0.187962713070134	0.0911249104836257	250	250	0.0439217281326511	0.496908738561592
X4.Hydroxybenzaldehyde	Gender	Male	-0.245900951945801	0.116443261129639	250	250	0.0430240185764615	0.496908738561592
Cystine	Gender	Male	1.1849734934147	0.565916053078157	250	169	0.0423929552427445	0.496908738561592
Itaconate	Age	Age	0.112909144645313	0.0536076987095851	250	250	0.0422604094711034	0.496908738561592
N.Acetylglycine	CRP_Category	Normal	0.265657792410487	0.129582617205421	250	250	0.0414572556185077	0.496908738561592
Pentanoate	CRP_Category	Normal	-0.378497222686448	0.186884584138096	250	250	0.0439503732810616	0.496908738561592
Proline	CRP_Category	Normal	-0.412585739887514	0.201392905273507	250	250	0.0415918267713211	0.496908738561592
trans.trans.Muconic.acid	Gender	Male	-0.25087235801722	0.119855559606631	250	250	0.0441141761202084	0.496908738561592
Xanthurenate	Gender	Male	-0.820734125793744	0.394059249700322	250	239	0.0428786521886743	0.496908738561592
Glycolate	Gender	Male	-0.349118066258341	0.168534693592723	250	250	0.044619719456502	0.497906028327695
Docosatrienoic.Acid	Age	Age	-0.534977036009107	0.260828433510029	250	68	0.0454765632668125	0.498924040383655
Guanine	Gender	Male	0.390139222236072	0.189140993626845	250	250	0.045720282636844	0.498924040383655
methyl.lysine	Gender	Male	0.70205861599756	0.343032019506	250	244	0.0466429644468638	0.498924040383655
methyl.lysine	CRP_Category	Normal	-0.521912567515086	0.260748677913162	250	244	0.0464810405709022	0.498924040383655
Sn.Glycero.3.Phosphocholine	Age	Age	-0.221074556071814	0.108106447934198	250	250	0.0468002449941117	0.498924040383655
Fructose	Gender	Male	0.563909474272132	0.277434202584091	250	250	0.0474511943223122	0.499236001923868
Mannitol	CRP_Category	Normal	-0.401403731046176	0.201643941963699	250	249	0.0476657489274045	0.499236001923868
