feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Adenosine	Dysbiosis_Index	Dysbiosis_Index	-0.645321764965638	0.107410348416624	250	250	2.38772282456338e-08	2.54658713441614e-05
Fructose.6.phosphate	Dysbiosis_Index	Dysbiosis_Index	-0.992604892878497	0.170072606936371	250	243	4.26564009114931e-08	2.54658713441614e-05
Maleate	Dysbiosis_Index	Dysbiosis_Index	-0.355101270482293	0.0645340687062974	250	250	1.1800978905495e-07	4.696789604387e-05
Sedoheptulose.7.phosphate	Dysbiosis_Index	Dysbiosis_Index	-0.901241433799257	0.164878232318118	250	223	1.9484947306597e-07	5.8162567710192e-05
Glycerate	Dysbiosis_Index	Dysbiosis_Index	-0.351089737278035	0.0668506538914415	250	249	3.95779289844042e-07	7.43683394769451e-05
N.Formylglycine	Dysbiosis_Index	Dysbiosis_Index	-0.521004035021966	0.0995907292018936	250	247	4.35995290065842e-07	7.43683394769451e-05
Ribose.phosphate	Dysbiosis_Index	Dysbiosis_Index	-0.825964069286456	0.154167945680881	250	213	3.9496054694441e-07	7.43683394769451e-05
AMP	Dysbiosis_Index	Dysbiosis_Index	-0.722511908310478	0.134859121277242	250	235	5.39529942453176e-07	8.05248439111365e-05
N.Methylglutamate	Dysbiosis_Index	Dysbiosis_Index	-0.385114539449422	0.0762143885346447	250	250	1.7430691143607e-06	0.000231247169171853
Lithocholate	Dysbiosis_Index	Dysbiosis_Index	-0.880738449972795	0.189353511121726	250	236	6.21456124437616e-06	0.000742018612578514
X10.HAD	Dysbiosis_Index	Dysbiosis_Index	-0.352083922013484	0.0749271350723932	250	249	9.99039913887082e-06	0.00103592858077325
Cytosine	Dysbiosis_Index	Dysbiosis_Index	-0.695393986087461	0.151318465436595	250	228	1.04113425203342e-05	0.00103592858077325
X4.Acetamidobutanoate	Dysbiosis_Index	Dysbiosis_Index	-0.303767730841071	0.0685683731296987	250	250	1.76528662866238e-05	0.00131915857724278
Adenine	Dysbiosis_Index	Dysbiosis_Index	-0.481715506532571	0.108521371302906	250	250	1.66815192456933e-05	0.00131915857724278
Dimethylglycine	Dysbiosis_Index	Dysbiosis_Index	-0.238129144726396	0.051486899171681	250	250	1.70467479480801e-05	0.00131915857724278
trans.trans.Muconic.acid	Dysbiosis_Index	Dysbiosis_Index	-0.215737857238397	0.0490000152050513	250	250	1.76771668642248e-05	0.00131915857724278
Creatine	Dysbiosis_Index	Dysbiosis_Index	0.935347926859368	0.217387418575897	250	250	2.78744378822709e-05	0.00184900437952397
N.Alpha.Acetyllysine	Dysbiosis_Index	Dysbiosis_Index	-0.435014162824939	0.101217201291796	250	250	2.73635524182073e-05	0.00184900437952397
X2.Deoxy.D.Glucose.6.phosphate	Dysbiosis_Index	Dysbiosis_Index	-0.655265438261166	0.152027344342379	250	183	3.7031877615651e-05	0.00221080309365436
X5.Deoxyadenosine	Dysbiosis_Index	Dysbiosis_Index	-0.44309557261665	0.104214982395119	250	247	3.54454371976348e-05	0.00221080309365436
Thiopurine.S.Methylether	Dysbiosis_Index	Dysbiosis_Index	-0.295122172335189	0.0694241548500886	250	250	4.44402493248275e-05	0.00252674560446876
X3.Methyl.2.Oxovalerate	Dysbiosis_Index	Dysbiosis_Index	-0.310054259156976	0.0718351130115526	250	250	5.1465622442495e-05	0.00256041471651413
Diethyl.2.Methyl.3.Oxosuccinate	Dysbiosis_Index	Dysbiosis_Index	-0.318468293792991	0.0755696736023699	250	250	5.09576322799523e-05	0.00256041471651413
P.Octopamine	Dysbiosis_Index	Dysbiosis_Index	-0.210251146832338	0.0484627081380498	250	250	5.0573632734655e-05	0.00256041471651413
Glycolate	Dysbiosis_Index	Dysbiosis_Index	-0.257539729219982	0.0621233564186759	250	250	6.82024623313582e-05	0.00317125399141151
Methyl.Vanillate	Dysbiosis_Index	Dysbiosis_Index	-0.296398382554723	0.0706832862578872	250	250	6.9055782057537e-05	0.00317125399141151
Dehydroascorbate	Dysbiosis_Index	Dysbiosis_Index	-0.320139085272929	0.0768169807998464	250	230	9.05555132216419e-05	0.00400456602913483
N.Methylaspartate	Dysbiosis_Index	Dysbiosis_Index	-0.610566729532757	0.146688192176935	250	224	0.00010263333091137	0.00422566196924745
Pyridoxal	Dysbiosis_Index	Dysbiosis_Index	-0.314719953088972	0.0770775037260945	250	250	0.000101557742770007	0.00422566196924745
N.Acetylserotonin	Dysbiosis_Index	Dysbiosis_Index	-0.793623008670784	0.200629431724191	250	211	0.000117977430507244	0.00454482036519916
Tridecanoic.acid	Dysbiosis_Index	Dysbiosis_Index	-0.271061740183618	0.0677873346327766	250	250	0.0001179978486777	0.00454482036519916
X2.4.Dihydroxypteridine	Dysbiosis_Index	Dysbiosis_Index	-0.331063675721083	0.0796003722290644	250	235	0.000125232232621315	0.0046727276796828
Trimethyllysine	Dysbiosis_Index	Dysbiosis_Index	0.535369516726644	0.13761474660569	250	250	0.00013880897507414	0.00502236109813707
Glucose.6.Phosphate	Dysbiosis_Index	Dysbiosis_Index	-0.73317694023904	0.189135913610894	250	244	0.000152573963921201	0.0052740787786403
Serine	Dysbiosis_Index	Dysbiosis_Index	-0.304413055987575	0.0770093381781761	250	250	0.000154600299206374	0.0052740787786403
Octanoic.acid	Dysbiosis_Index	Dysbiosis_Index	-0.30886593959619	0.0792329017818353	250	250	0.000166451687594156	0.00552064763853951
Adenosine.Diphosphate.Ribose	Dysbiosis_Index	Dysbiosis_Index	-0.618175832888691	0.156741641846122	250	134	0.000186668764997408	0.00602385149748392
Gulonolactone	Dysbiosis_Index	Dysbiosis_Index	-0.274704761506349	0.0714038807188691	250	250	0.000205487091126666	0.00645662070540103
Azelate	Dysbiosis_Index	Dysbiosis_Index	-0.240991350734516	0.0635541239907823	250	250	0.000226473293329128	0.00659534420085314
N.Acetylmethionine	Dysbiosis_Index	Dysbiosis_Index	-0.34177972059835	0.0896080962078998	250	249	0.000219306670281901	0.00659534420085314
