feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X6.Carboxyhexanoate	Disease_Status	CD_Remission	1.31371888180961	0.219552073126401	250	250	8.46246561865521e-09	1.01041839486743e-05
Pyridoxine	Disease_Status	CD_Remission	1.44846021222619	0.250851392255114	250	250	2.53634256751648e-08	1.51419651280734e-05
Didecanoyl.Glycerophosphocholine	Disease_Status	CD_Remission	1.28568657246082	0.279738926710572	250	230	7.16028417212772e-06	0.00284979310050683
N.Acetylglycine	Disease_Status	CD_Remission	0.718584590355341	0.166020148329139	250	250	2.26471170819536e-05	0.00676016444896316
X4.Aminobenzoate	Disease_Status	CD_Remission	0.952105154143992	0.232613466390421	250	250	5.95064984457092e-05	0.00983563007205607
cis.5.Dodecenoic.acid	Disease_Status	CD_Remission	1.48209503753279	0.356265994410255	250	235	4.41608518604042e-05	0.00983563007205607
Heptanoic.acid	Disease_Status	CD_Remission	0.908285331007006	0.223385838961011	250	250	6.59003689920004e-05	0.00983563007205607
trans.3.Hexenoic.acid	Disease_Status	CD_Remission	0.964307472651944	0.235805183604725	250	248	6.0566647084564e-05	0.00983563007205607
X3.Methyladenine	Disease_Status	CD_Remission	0.787486483972892	0.197066273402427	250	250	8.74029275867782e-05	0.0115954550598459
Acetylcysteine	Disease_Status	CD_Remission	1.51618436343636	0.383449674506795	250	216	0.000102049118895669	0.0121846647961429
X3..4.Hydroxyphenyl.Pyruvate	Disease_Status	CD_Remission	0.845342443986771	0.219592951360531	250	250	0.000153347896679389	0.0130783849025136
X4.Hydroxybenzaldehyde	Disease_Status	CD_Remission	0.551859347783748	0.142800629304379	250	250	0.000145360988938257	0.0130783849025136
Decanoic.acid	Disease_Status	CD_Remission	0.761987899323056	0.195718061298848	250	250	0.000130089829315511	0.0130783849025136
Sorbate	Disease_Status	CD_Remission	1.22840107369205	0.317304928931595	250	238	0.000141458312480612	0.0130783849025136
Myristoleic.acid	Disease_Status	CD_Remission	0.871334869598833	0.227841041798651	250	232	0.000169090042604026	0.0134595673912805
Lithocholyltaurine	Age	Age	-0.568398721367117	0.141150330590083	250	73	0.000225324148541078	0.0167323246137757
Tyrosine	Disease_Status	CD_Remission	-1.03512830682437	0.27722254086141	250	250	0.00023823242749932	0.0167323246137757
Cysteate	Disease_Status	CD_Remission	-1.41140897835346	0.386701428431801	250	112	0.000325278851302974	0.0210178062046672
Gulonolactone	Disease_Status	CD_Remission	0.625590669016393	0.171711126934815	250	250	0.000334454202586831	0.0210178062046672
Sarcosine	Gender	Male	-0.866987576890425	0.24101297656465	250	209	0.000389536739146963	0.0219896305916076
Suberate	Disease_Status	CD_Remission	0.609168671158699	0.169460307330334	250	249	0.000398964967108402	0.0219896305916076
Threitol	Disease_Status	CD_Remission	0.852874222252722	0.237527820027551	250	231	0.000405169072877192	0.0219896305916076
X3.Hydroxybenzyl.Alcohol	Disease_Status	CD_Remission	0.649609016940076	0.184230600159254	250	250	0.000509857774520913	0.0264682688164335
Dimethylglycine	Disease_Status	CD_Remission	0.489032402167231	0.139204784549526	250	250	0.00053368954592884	0.0265510549099598
X3.4.Dihydroxyphenylglycol	Disease_Status	CD_Remission	0.691566739717631	0.197798648897436	250	242	0.000567447950931681	0.0271013141364971
cis.7.10.13.16.Docosatetraenoic.acid	Disease_Status	CD_Remission	-2.11939497501742	0.610050599354055	250	137	0.000613660747952466	0.028181189732894
Nonanoic.acid	Disease_Status	CD_Remission	0.690810791195642	0.199705481998193	250	250	0.000648208433558873	0.028665217395159
Glucuronolactone	Disease_Status	CD_Remission	1.09052481075823	0.316288914796022	250	250	0.000674205518271087	0.0287500496005599
N.Methylaspartate	Disease_Status	CD_Remission	1.29110637718262	0.375632207868779	250	224	0.000701856513852551	0.0288971268117223
Choline	Disease_Status	CD_Remission	-2.92845158054163	0.857587735373431	250	219	0.000747968296487424	0.0297691382001995
Dethiobiotin	Disease_Status	CD_Remission	-1.30654767204634	0.38497939852908	250	142	0.000812884468055982	0.0313091630599627
Arachidonic.acid	Disease_Status	CD_Remission	-1.08033289980439	0.321357038129532	250	227	0.000909338253709457	0.0339296835915341
X3.Dehydroshikimate	Disease_Status	CD_Remission	0.832274625225142	0.250833197576794	250	249	0.00105525928204684	0.0359994166503981
Hexanoic.acid	Disease_Status	CD_Remission	0.81879237453516	0.246799148299882	250	250	0.00105115738859687	0.0359994166503981
L.Dopa	Disease_Status	CD_Remission	0.625871665086978	0.187791801954601	250	246	0.00100331497544363	0.0359994166503981
Nervonic.acid	Disease_Status	CD_Remission	-1.74512827911141	0.528690601989872	250	217	0.00111896006802284	0.0364959792578576
Salsolinol	Disease_Status	CD_Remission	0.827378739954131	0.250860057360771	250	249	0.00113094743093864	0.0364959792578576
cis.7.10.13.16.Docosatetraenoic.acid	Age	Age	-0.973626781494628	0.284770707809563	250	137	0.00122703230368686	0.0366269142650529
Proline	Disease_Status	CD_Remission	-0.869087379317865	0.265097534322371	250	250	0.0012079280064485	0.0366269142650529
Shikimate	Age	Age	0.825898096677185	0.242604015345561	250	250	0.00119777521677102	0.0366269142650529
X2.4.Dihydroxypteridine	Disease_Status	CD_Remission	0.766867242007295	0.235671465359718	250	235	0.0013119294594904	0.0376529315007316
Lumichrome	Disease_Status	CD_Remission	0.812351358157518	0.249889242627828	250	249	0.00132447497741267	0.0376529315007316
X2.3.Dihydroxybenzoate	Disease_Status	CD_Remission	0.74654185866027	0.230641100596651	250	249	0.0013904187252376	0.0381676692062245
Glycerol	Disease_Status	CD_Remission	0.78225258443638	0.242014692754338	250	250	0.0014065137730937	0.0381676692062245
X9.Decenoic.acid	Disease_Status	CD_Remission	0.748267205098212	0.232342894042518	250	248	0.0014700192575172	0.039004510966123
