feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
cis.7.10.13.16.Docosatetraenoic.acid	FCP_Category	Normal	-2.26423296094496	0.394585540158985	250	137	2.91656783029179e-08	3.48238198936839e-05
Nervonic.acid	FCP_Category	Normal	-1.77992042341712	0.342686927913122	250	217	4.43303695070717e-07	0.000264652305957218
Arachidonic.acid	FCP_Category	Normal	-0.993149422587764	0.215163172579998	250	227	6.42891728928109e-06	0.00255870908113387
all.cis.4.7.10.13.16.Docosapentaenoic.acid	FCP_Category	Normal	-1.43928636235404	0.324698583102607	250	137	1.42485301313743e-05	0.00425318624421522
Pyridoxine	FCP_Category	Normal	0.765292077879532	0.174644164152399	250	250	1.81061485161096e-05	0.00432374826564698
X5.Z..8.Z..11.Z..Eicosatrienoic.Acid	FCP_Category	Normal	-1.1901298649114	0.294799846398321	250	232	7.31012593953504e-05	0.0124689862454355
N.Acetylglycine	FCP_Category	Normal	0.442017187341612	0.108707714416392	250	250	6.51763530725399e-05	0.0124689862454355
Tyrosine	FCP_Category	Normal	-0.723855304491346	0.182806894930255	250	250	9.92997296622612e-05	0.0148204846520925
X6.Carboxyhexanoate	FCP_Category	Normal	0.603063409115288	0.153567258540546	250	250	0.000112816652235192	0.0149670091965355
Glucosaminate	FCP_Category	Normal	0.797613515512419	0.20688804086651	250	206	0.000152975025354664	0.0182652180273469
Methylarginine	FCP_Category	Normal	-0.992347032361197	0.270180526677508	250	210	0.000299488172187804	0.0325080797811125
Methylmalonate	FCP_Category	Normal	0.332485437158806	0.0924102853257669	250	250	0.000390425602191954	0.0388473474180994
Cytidine	FCP_Category	Normal	0.53191082707992	0.150590774549546	250	250	0.000495761416552124	0.0455337793356335
Dopamine	FCP_Category	Normal	0.431792529482778	0.124099349956056	250	250	0.000598319578739085	0.0510281126438906
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.753955379230236	0.209284631834477	250	243	0.000705455840417022	0.056154284897195
Sarcosine	Gender	Male	-0.814637164840723	0.243416184163334	250	209	0.000950946302727177	0.0709643678410156
Ornithine	FCP_Category	Normal	-0.64919903648751	0.196511311391347	250	250	0.0011021317265506	0.0774085459706717
cis.11.Eicosenoic.acid	FCP_Category	Normal	-0.470172037025838	0.149068599959807	250	250	0.00182048550208208	0.101838115102362
Cystine	FCP_Category	Normal	-1.22417837529629	0.388712893320056	250	169	0.001846867706699	0.101838115102362
Didecanoyl.Glycerophosphocholine	FCP_Category	Normal	0.62610897870275	0.197494593073614	250	230	0.00175949962804027	0.101838115102362
Glycolate	FCP_Category	Normal	0.328708157879002	0.10460567257888	250	250	0.00188958744049396	0.101838115102362
N.Acetylleucine	FCP_Category	Normal	-0.508459786473923	0.162628739046768	250	247	0.00199144893535409	0.101838115102362
N.Acetylmethionine	Gender	Male	-0.746001864546957	0.22812780939638	250	249	0.00212519626921749	0.101838115102362
Phenylalanine	FCP_Category	Normal	-0.670041905476166	0.212289573839052	250	250	0.00180927243545543	0.101838115102362
Sorbate	FCP_Category	Normal	0.666099950318042	0.214498076960319	250	238	0.00213228884217677	0.101838115102362
N.Acetylneuraminate	Age	Age	-0.465074357254248	0.14529068482245	250	250	0.00233874311028782	0.107402279757064
Lithocholyltaurine	Age	Age	-0.460419499118229	0.143446784459352	250	73	0.00253326252894407	0.108025552127115
Mannitol	FCP_Category	Normal	-0.532093119756192	0.173935499806572	250	249	0.00247504820035762	0.108025552127115
