feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X6.Carboxyhexanoate	Faith_pd	Faith_pd	0.595922175873162	0.079999967978521	250	250	2.98692930655364e-11	3.56639359202504e-08
Glutarylcarnitine	Faith_pd	Faith_pd	1.2354527702045	0.172812269291499	250	160	1.71177673552882e-10	1.02193071111071e-07
L.Dopa	Faith_pd	Faith_pd	0.455662098850775	0.0678105138680728	250	246	3.90398904293045e-10	1.16534072931474e-07
Ophthalmate	Faith_pd	Faith_pd	0.901261858892888	0.132333782317381	250	221	3.29671712705732e-10	1.16534072931474e-07
all.cis.4.7.10.13.16.Docosapentaenoic.acid	Faith_pd	Faith_pd	-1.20073581426635	0.185070625268337	250	137	1.65923527735067e-09	3.96225384231341e-07
Dimethylarginine	Faith_pd	Faith_pd	-0.7489721580594	0.121764394714233	250	249	5.39110665863482e-09	1.07283022506833e-06
Cortisone	Faith_pd	Faith_pd	0.619335868375564	0.102891483866683	250	85	3.95734647430531e-08	6.75010241474362e-06
N.Acetylputrescine	Faith_pd	Faith_pd	-1.19210996401515	0.207670711243752	250	250	5.08129143942074e-08	7.58382747333546e-06
Stearic.acid	Faith_pd	Faith_pd	0.498164558396589	0.0852531912468876	250	250	8.49231657025484e-08	1.12664733165381e-05
Adipate	Faith_pd	Faith_pd	0.504506929570227	0.0903482748355353	250	250	1.42806843557491e-07	1.70511371207645e-05
Arachidonic.acid	Faith_pd	Faith_pd	-0.692146586598594	0.124311041069238	250	227	1.59011961644988e-07	1.72600256549197e-05
Oxoglutarate	Faith_pd	Faith_pd	0.711481402701812	0.122234304178414	250	250	1.76801643037576e-07	1.75917634822388e-05
Buthionine.sulfoximine	Faith_pd	Faith_pd	0.343547251895036	0.0645748299470497	250	250	3.87815120365478e-07	3.56193272089524e-05
Methyglutarate	Faith_pd	Faith_pd	0.334022094463044	0.0637062946372352	250	250	4.87932285815036e-07	4.16136535187966e-05
Cholate	Faith_pd	Faith_pd	-1.13711820328395	0.21588551421833	250	244	5.35239707112878e-07	4.26050806861851e-05
Dopamine	Faith_pd	Faith_pd	0.369910172884444	0.0716087891275853	250	250	1.15095254106082e-06	8.58898333766639e-05
Biotin	Faith_pd	Faith_pd	0.412876436062495	0.0810153188488683	250	250	1.30050047169582e-06	9.13410331296945e-05
Benzyl.Alcohol	Faith_pd	Faith_pd	0.950496310726283	0.192283585487278	250	223	1.80494602648375e-06	0.000119728086423422
Quinolinate	Faith_pd	Faith_pd	0.327514583695098	0.0674645472522259	250	250	2.56724154672413e-06	0.00016133086351519
X2.Deoxy.D.Glucose	Faith_pd	Faith_pd	-0.484825367607401	0.0992815823446353	250	250	3.02009805349038e-06	0.000180299853793376
Hexanoic.acid	Faith_pd	Faith_pd	0.454339532170872	0.0973431845903082	250	250	5.75416720346458e-06	0.000327165506711272
Tryptophan	Faith_pd	Faith_pd	-0.446725441253624	0.0960709424787147	250	250	6.67980084882444e-06	0.000362531009704381
Salsolinol	Faith_pd	Faith_pd	0.411494665649773	0.0877536047193182	250	249	7.87156439064597e-06	0.000408636864453534
Xanthurenate	Faith_pd	Faith_pd	0.712491204246796	0.153080915517594	250	239	8.4960105104115e-06	0.000422676522892972
X4.Pyridoxate	Faith_pd	Faith_pd	0.422538570637306	0.0929898123910361	250	250	1.04035285378971e-05	0.000496872522969965
X3.Methoxytyrosine	Faith_pd	Faith_pd	0.27840146972585	0.0619328875311194	250	250	1.31114811542734e-05	0.000559111017792943
Azelate	Faith_pd	Faith_pd	0.273793166067934	0.0600190748989778	250	250	1.25847451806451e-05	0.000559111017792943
Trimethyllysine	Faith_pd	Faith_pd	-0.594912457147518	0.132436943501634	250	250	1.28573454247228e-05	0.000559111017792943
Melatonin	Faith_pd	Faith_pd	1.25885762989547	0.280709991852275	250	177	1.39451898627741e-05	0.000574157127453525
Kynurenate	Faith_pd	Faith_pd	0.516634419566498	0.115735911882187	250	242	1.54950152473416e-05	0.000616701606844194
X4.Aminobenzoate	Faith_pd	Faith_pd	0.403565863176227	0.0918449317825034	250	250	2.15951251301153e-05	0.000812717400583102
Serotonin	Faith_pd	Faith_pd	0.960593839445358	0.219104901717922	250	207	2.17813708698989e-05	0.000812717400583102
Quinoline	Faith_pd	Faith_pd	0.556704989823618	0.127985070510386	250	78	2.31341527483662e-05	0.000837035708531795
N.Acetylserotonin	Faith_pd	Faith_pd	0.82730017187714	0.194621497954837	250	211	3.83832903096641e-05	0.00134793084205115
Fructose	Faith_pd	Faith_pd	-0.364463336600897	0.0869979544267396	250	250	4.32223679698862e-05	0.00143354187100123
Protoporphyrin	Faith_pd	Faith_pd	0.916394532081768	0.215082087109683	250	103	4.31589229671845e-05	0.00143354187100123
Tridecanoic.acid	Faith_pd	Faith_pd	0.281933751467993	0.0669100641513006	250	250	4.57774450622578e-05	0.00147725052444151
methyl.lysine	Faith_pd	Faith_pd	-0.57024291111551	0.136324013686053	250	244	4.74845537226139e-05	0.00149201466170529
Heptanoic.acid	Faith_pd	Faith_pd	0.374030683844207	0.0901170105657412	250	250	5.28890106302957e-05	0.00161921740237367
N.Acetylglutamate	Faith_pd	Faith_pd	0.399295033338177	0.0966527911500737	250	250	5.43782244984107e-05	0.0016217427905784
N.Acetylmethionine	Faith_pd	Faith_pd	0.362513785763322	0.0873151346419952	250	249	5.56879852711175e-05	0.0016217427905784
Indoxyl.Glucoside	Faith_pd	Faith_pd	0.470292434717108	0.113192278167933	250	233	5.85424531889259e-05	0.00166427831208518
