feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Thymidine	IIRN_Flare	never_flared	2.60198268217979	0.526457558888586	217	193	1.39081112027054e-05	0.0166062847760303
Oleic.acid	IIRN_Flare	never_flared	1.26273142706062	0.30925369957578	217	217	0.000197515291433731	0.10524072594095
Succinic.Acid	IIRN_Flare	never_flared	-1.64229630799745	0.411502691948859	217	217	0.000264423934525	0.10524072594095
X2.Acetamido.2.Deoxy.Beta.D.Glucosylamine	Age	Age	-0.86576773111543	0.226763580128074	217	211	0.000527654221689889	0.109560235366663
N.Acetylmethionine	Gender	Male	-0.820009458612436	0.216781354619476	217	216	0.000550553946566148	0.109560235366663
Sarcosine	Gender	Male	-0.786154498002259	0.218970347059588	217	183	0.000411318973088408	0.109560235366663
Allothreonine	Gender	Male	-0.635136737548241	0.19193557989797	217	199	0.00110129440312132	0.146105057480762
cis.10.Nonadecenoic.acid	IIRN_Flare	never_flared	0.868845444582097	0.26234775280844	217	207	0.00109127000941313	0.146105057480762
Dimethylarginine	Gender	Male	1.47563866393965	0.408705629174214	217	216	0.000894912666531601	0.146105057480762
X3.Hydroxybenzyl.Alcohol	Gender	Male	-0.517282514361296	0.160621292770382	217	217	0.00258575925914589	0.151500931563473
Benzyl.Alcohol	IIRN_Flare	never_flared	2.11203760014154	0.621996977240322	217	194	0.0015082524075642	0.151500931563473
cis.11.Eicosenoic.acid	IIRN_Flare	never_flared	0.977607352241755	0.290938529421132	217	217	0.00172223842395324	0.151500931563473
Cis.4.Hydroxy.D.Proline	Gender	Male	0.740943878088502	0.228337640785378	217	217	0.00266047092403476	0.151500931563473
Epinephrine	Gender	Male	-0.622554919206971	0.193074403595166	217	200	0.00266265933613997	0.151500931563473
Methylarginine	Gender	Male	0.957990866631908	0.285489074375916	217	181	0.00198857337982222	0.151500931563473
Methylguanidine	IIRN_Flare	never_flared	1.35833200994134	0.420573099502946	217	146	0.00219096627733014	0.151500931563473
Methylmalonate	Gender	Male	-0.291570939522313	0.0917468691224264	217	217	0.00170671390237861	0.151500931563473
N.Acetylneuraminate	Age	Age	-0.500087311857662	0.153016566080595	217	217	0.00232257388658884	0.151500931563473
Thymine	Gender	Male	0.691605986814579	0.225711275012835	217	213	0.00246926562057304	0.151500931563473
Trimethyllysine	Gender	Male	1.11510002630687	0.341109897775236	217	217	0.00231797440347333	0.151500931563473
Trimethyllysine	IIRN_Flare	never_flared	-1.30756876037982	0.408977691849617	217	217	0.0026645892486038	0.151500931563473
X5.Deoxyadenosine	IIRN_Flare	never_flared	0.855408198570437	0.283135575246942	217	215	0.00423996794795092	0.159670787006338
aminoadipate	Age	Age	-0.311010629001921	0.10046911522369	217	217	0.00373840679349034	0.159670787006338
D.Sedoheptulose	IIRN_Flare	never_flared	-1.07426347860853	0.353130622249449	217	178	0.00392181843356982	0.159670787006338
Malonate	IIRN_Flare	never_flared	-0.607550251968737	0.197910297484645	217	217	0.003618260638324	0.159670787006338
N.Acetylalanine	Gender	Male	0.465206337729178	0.153333093630009	217	217	0.00441301170118019	0.159670787006338
N.Acetylglycine	Gender	Male	-0.443764604989521	0.143445908712769	217	217	0.00380228306386558	0.159670787006338
P.Octopamine	Gender	Male	-0.318774599395593	0.10306448762616	217	217	0.0039505334388673	0.159670787006338
Pentadecanoic.acid	IIRN_Flare	never_flared	1.00131023798592	0.329520485042767	217	217	0.00422996183883742	0.159670787006338
Phosphoserine	Age	Age	-0.852106383091123	0.275654556679594	217	115	0.00392052993626085	0.159670787006338
Pyridoxine	Gender	Male	-0.59169879959748	0.193579319102504	217	217	0.00428475487574641	0.159670787006338
Taurine	IIRN_Flare	never_flared	-3.00335936291949	0.953889849684581	217	214	0.00305546512506263	0.159670787006338
Xanthurenate	Gender	Male	-1.17704384208867	0.378991129429199	217	208	0.00349790215827496	0.159670787006338
Pyridoxal	Gender	Male	-0.606957981218907	0.200935215810752	217	217	0.00462801499599976	0.162524997212462
X4.Hydroxybenzaldehyde	Gender	Male	-0.323662134639532	0.109934269553443	217	217	0.00569758726061259	0.17443382536337
Adenosine.Diphosphate.Ribose	Age	Age	-0.351866462382286	0.125047176294007	217	117	0.0053599120238073	0.17443382536337
Arachidonic.acid	Age	Age	-0.445727986702725	0.150750865922835	217	194	0.00540764002461602	0.17443382536337
